token	bucket	subtype	universality	total_count	c_tinystories	c_control	c_novice	c_expert	zipf	is_propn	is_name_cased	lemma	lemma_resolves	store_match
kg	named_entity	candidate	2	7	0	0	5	2	4.08	1	1		0	0
shipment	domain_term		2	7	0	0	5	2	3.76	0	0		0	0
exemption	named_entity	candidate	2	6	0	0	2	4	3.65	0	1		0	0
mexico	named_entity	candidate	2	6	0	0	4	2	4.75	1	1		0	0
simon	named_entity	candidate	2	6	5	0	0	1	4.48	1	1		0	0
singapore	named_entity	candidate	2	6	0	0	1	5	4.35	1	1		0	0
watering	inflection_miss		2	6	4	2	0	0	3.57	1	0	water	1	0
y	junk	structural	2	6	1	0	0	5	5.03	1	1		0	0
compliant	domain_term		2	5	0	0	1	4	3.42	0	0		0	0
latvia	named_entity	candidate	2	5	0	0	1	4	3.44	1	1		0	0
pre	common_gap		2	5	1	0	0	4	4.95	0	0		0	0
american	named_entity	candidate	2	4	0	0	3	1	5.49	1	1		0	0
australia	named_entity	candidate	2	4	0	0	2	2	5.06	1	1		0	0
b	junk	structural	2	4	0	0	2	2	5.35	1	1		0	0
carrier	named_entity	candidate	2	4	0	0	2	2	4.29	1	0		0	0
fulfilled	inflection_miss		2	4	1	0	0	3	3.77	0	0	fulfil	1	0
incoterms	named_entity	candidate	2	4	0	0	2	2	1.24	1	1	incoterm	0	0
invoices	named_entity	candidate	2	4	0	0	1	3	3.09	1	0	invoice	0	0
manufacturer	common_gap		2	4	0	1	0	3	4.21	0	0		0	0
respective	domain_term		2	4	0	0	1	3	4.19	0	0		0	0
services	named_entity	candidate	2	4	0	0	3	1	5.31	1	1	service	1	0
supplier	domain_term		2	4	0	0	1	3	3.84	0	0		0	0
territories	domain_term		2	4	0	0	1	3	4.02	0	0	territory	0	0
threshold	domain_term		2	4	0	0	3	1	4.03	0	0		0	0
treaty	named_entity	candidate	2	4	0	0	2	2	4.31	1	1		0	0
agricultural	domain_term		2	3	0	0	1	2	4.34	0	0		0	0
baking	inflection_miss		2	3	1	2	0	0	3.92	0	0	bake	1	0
ddp	named_entity	candidate	2	3	0	0	2	1	2.42	1	1		0	0
g	junk	structural	2	3	1	0	2	0	5.0	1	1		0	0
judgement	common_gap		2	3	1	0	0	2	3.86	0	0		0	0
korea	named_entity	candidate	2	3	0	0	2	1	4.65	1	1		0	0
meaningful	domain_term		2	3	0	0	1	2	4.14	0	0		0	0
mixing	inflection_miss		2	3	2	0	0	1	4.11	0	0	mix	1	0
myanmar	named_entity	candidate	2	3	0	0	1	2	3.81	1	1		0	0
paperwork	named_entity	candidate	2	3	0	0	2	1	3.84	1	1		0	0
penalty	common_gap		2	3	0	1	0	2	4.45	0	0		0	0
planting	inflection_miss		2	3	1	2	0	0	3.81	0	0	plant	1	0
regardless	domain_term		2	3	0	0	1	2	4.48	0	0		0	0
thailand	named_entity	candidate	2	3	0	0	1	2	4.22	1	1		0	0
u.s.	junk	structural	2	3	0	0	2	1	5.31	1	1		0	0
usd	named_entity	candidate	2	3	0	0	2	1	3.97	1	1		0	0
x.	junk	structural	2	3	2	0	0	1	5.2	1	1		0	0
accountant	named_entity	candidate	2	2	0	0	1	1	3.76	1	1		0	0
agreements	named_entity	candidate	2	2	0	0	1	1	4.12	1	1	agreement	1	0
baked	common_gap		2	2	1	1	0	0	3.92	0	0		0	0
brokerage	domain_term		2	2	0	0	1	1	3.37	0	0		0	0
defence	named_entity	candidate	2	2	0	1	0	1	4.51	1	1		0	0
hungary	named_entity	candidate	2	2	0	0	1	1	3.91	1	1		0	0
improved	common_gap		2	2	1	1	0	0	4.61	0	0		0	0
manufactured	domain_term		2	2	0	0	1	1	4.13	0	0	manufacture	0	0
packaging	domain_term		2	2	0	0	1	1	3.96	0	0		0	0
paid	named_entity	candidate	2	2	0	0	1	1	5.12	1	1	pay	1	0
productive	common_gap		2	2	0	1	0	1	4.22	0	0		0	0
smoother	common_gap		2	2	1	1	0	0	3.35	0	0		0	0
starting	inflection_miss		2	2	1	0	0	1	5.07	0	0	start	1	0
supranational	domain_term		2	2	0	0	1	1	2.46	0	0		0	0
unwelcome	domain_term		2	2	0	0	1	1	3.14	0	0		0	0
worn	common_gap		2	2	1	1	0	0	4.26	0	0		0	0
lily	named_entity	candidate	1	4354	4354	0	0	0	3.95	1	1		0	0
timmy	named_entity	candidate	1	1829	1829	0	0	0	3.31	1	1		0	0
ben	named_entity	candidate	1	1631	1631	0	0	0	4.69	1	1		0	0
tom	named_entity	candidate	1	1600	1600	0	0	0	4.83	1	1		0	0
tim	named_entity	candidate	1	1201	1201	0	0	0	4.51	1	1		0	0
jack	named_entity	candidate	1	1086	1086	0	0	0	4.82	1	1		0	0
sam	named_entity	candidate	1	766	766	0	0	0	4.64	1	1		0	0
john	named_entity	candidate	1	717	717	0	0	0	5.38	1	1		0	0
lucy	named_entity	candidate	1	672	672	0	0	0	4.07	1	1		0	0
anna	named_entity	candidate	1	648	648	0	0	0	4.37	1	1		0	0
mum	named_entity	candidate	1	633	633	0	0	0	4.41	1	1		0	0
jane	named_entity	candidate	1	500	500	0	0	0	4.42	1	1		0	0
sara	named_entity	candidate	1	441	441	0	0	0	3.96	1	1		0	0
mia	named_entity	candidate	1	435	435	0	0	0	3.87	1	1		0	0
joe	named_entity	candidate	1	397	397	0	0	0	4.78	1	1		0	0
molly	named_entity	candidate	1	385	385	0	0	0	3.87	1	1		0	0
sue	named_entity	candidate	1	370	370	0	0	0	4.22	1	1		0	0
sarah	named_entity	candidate	1	361	361	0	0	0	4.48	1	1		0	0
sally	named_entity	candidate	1	314	314	0	0	0	3.97	1	1		0	0
tommy	named_entity	candidate	1	289	289	0	0	0	4.16	1	1		0	0
jill	named_entity	candidate	1	257	257	0	0	0	3.81	1	1		0	0
grandma	named_entity	candidate	1	249	249	0	0	0	4.11	1	1		0	0
mummy	named_entity	candidate	1	236	236	0	0	0	3.57	1	1		0	0
amy	named_entity	candidate	1	235	235	0	0	0	4.2	1	1		0	0
lila	named_entity	candidate	1	225	225	0	0	0	3.05	1	1		0	0
billy	named_entity	candidate	1	221	221	0	0	0	4.33	1	1		0	0
jimmy	named_entity	candidate	1	220	220	0	0	0	4.44	1	1		0	0
mary	named_entity	candidate	1	197	197	0	0	0	4.78	1	1		0	0
benny	named_entity	candidate	1	193	193	0	0	0	3.6	1	1		0	0
emma	named_entity	candidate	1	165	165	0	0	0	4.23	1	1		0	0
teddy	named_entity	candidate	1	146	146	0	0	0	3.88	1	1		0	0
jenny	named_entity	candidate	1	129	129	0	0	0	3.89	1	1		0	0
aeo	named_entity	candidate	1	126	0	0	0	126	1.85	1	1		0	0
jake	named_entity	candidate	1	124	124	0	0	0	4.17	1	1		0	0
emily	named_entity	candidate	1	121	121	0	0	0	4.14	1	1		0	0
alice	named_entity	candidate	1	119	119	0	0	0	4.26	1	1		0	0
pete	named_entity	candidate	1	109	109	0	0	0	4.12	1	1		0	0
jim	named_entity	candidate	1	97	97	0	0	0	4.62	1	1		0	0
ucc	named_entity	candidate	1	97	0	0	0	97	2.78	1	1		0	0
sammy	named_entity	candidate	1	94	94	0	0	0	3.6	1	1		0	0
bobby	named_entity	candidate	1	85	85	0	0	0	4.22	1	1		0	0
susie	named_entity	candidate	1	85	85	0	0	0	3.24	1	1		0	0
johnny	named_entity	candidate	1	83	83	0	0	0	4.35	1	1		0	0
tweety	named_entity	candidate	1	83	83	0	0	0	2.45	1	1		0	0
jen	named_entity	candidate	1	82	82	0	0	0	3.58	1	1		0	0
t&c	junk	structural	1	81	0	0	0	81	5.08	1	1		0	0
andy	named_entity	candidate	1	79	79	0	0	0	4.43	1	1		0	0
valuation	named_entity	candidate	1	76	0	0	0	76	3.75	1	1		0	0
relieved	inflection_miss		1	75	75	0	0	0	3.95	0	0	relieve	1	0
playing	inflection_miss		1	73	73	0	0	0	5.37	0	0	play	1	0
mr.	junk	structural	1	67	67	0	0	0	5.69	1	1		0	0
alex	named_entity	candidate	1	64	64	0	0	0	4.62	1	1		0	0
mrs.	junk	structural	1	64	64	0	0	0	4.89	1	1		0	0
polly	named_entity	candidate	1	64	64	0	0	0	3.4	1	1		0	0
lisa	named_entity	candidate	1	63	63	0	0	0	4.29	1	1		0	0
james	named_entity	candidate	1	62	62	0	0	0	5.11	1	1	jam	1	0
excitedly	named_entity	candidate	1	60	60	0	0	0	3.06	1	0		0	0
toby	named_entity	candidate	1	57	57	0	0	0	3.67	1	1		0	0
sophie	named_entity	candidate	1	56	56	0	0	0	3.91	1	1		0	0
delighted	inflection_miss		1	55	55	0	0	0	4.09	0	0	delight	1	0
joey	named_entity	candidate	1	54	54	0	0	0	3.92	1	1		0	0
fred	named_entity	candidate	1	53	53	0	0	0	4.21	1	1		0	0
george	named_entity	candidate	1	52	52	0	0	0	5.04	1	1		0	0
lola	named_entity	candidate	1	52	52	0	0	0	3.45	1	1		0	0
henry	named_entity	candidate	1	48	48	0	0	0	4.74	1	1		0	0
rosie	named_entity	candidate	1	48	48	0	0	0	3.61	1	1		0	0
mandy	named_entity	candidate	1	47	47	0	0	0	3.37	1	1		0	0
bella	named_entity	candidate	1	46	46	0	0	0	3.74	1	1		0	0
elly	named_entity	candidate	1	45	45	0	0	0	2.7	1	1		0	0
danny	named_entity	candidate	1	44	44	0	0	0	4.25	1	1		0	0
ducky	named_entity	candidate	1	44	44	0	0	0	2.68	1	1		0	0
leo	named_entity	candidate	1	44	44	0	0	0	4.23	1	1		0	0
ted	named_entity	candidate	1	43	43	0	0	0	4.26	1	1		0	0
josh	named_entity	candidate	1	42	42	0	0	0	4.35	1	1		0	0
rachel	named_entity	candidate	1	41	41	0	0	0	4.15	1	1		0	0
dave	named_entity	candidate	1	40	40	0	0	0	4.44	1	1		0	0
frank	named_entity	candidate	1	40	40	0	0	0	4.75	1	1		0	0
frustrated	inflection_miss		1	40	40	0	0	0	4.08	0	0	frustrate	1	0
remy	named_entity	candidate	1	40	40	0	0	0	3.27	1	1		0	0
millie	named_entity	candidate	1	38	38	0	0	0	3.2	1	1		0	0
mittens	named_entity	candidate	1	38	38	0	0	0	2.88	1	1	mitten	1	0
importers	named_entity	candidate	1	37	0	0	0	37	2.95	1	1	importer	0	0
lilly	named_entity	candidate	1	36	36	0	0	0	3.54	1	1		0	0
r	junk	structural	1	36	0	0	0	36	5.35	1	1		0	0
tony	named_entity	candidate	1	36	36	0	0	0	4.64	1	1		0	0
betty	named_entity	candidate	1	35	35	0	0	0	3.92	1	1		0	0
loved	inflection_miss		1	35	35	0	0	0	5.0	1	0	love	1	0
doggy	named_entity	candidate	1	34	34	0	0	0	3.33	1	1		0	0
kate	named_entity	candidate	1	34	34	0	0	0	4.34	1	1		0	0
ncts	named_entity	candidate	1	34	0	0	0	34	1.02	1	1	nct	0	0
paul	named_entity	candidate	1	34	34	0	0	0	5.03	1	1		0	0
afcfta	named_entity	candidate	1	33	0	0	0	33	0.0	1	1		0	0
charlie	named_entity	candidate	1	33	33	0	0	0	4.43	1	1		0	0
freddy	named_entity	candidate	1	33	33	0	0	0	3.44	1	1		0	0
maddy	named_entity	candidate	1	33	33	0	0	0	2.97	1	1		0	0
ann	named_entity	candidate	1	32	32	0	0	0	4.35	1	1		0	0
ella	named_entity	candidate	1	32	32	0	0	0	3.63	1	1		0	0
mike	named_entity	candidate	1	32	32	0	0	0	4.8	1	1		0	0
traders	named_entity	candidate	1	32	0	0	0	32	3.95	0	1	trader	0	0
ukraine	named_entity	candidate	1	32	0	0	0	32	4.32	1	1		0	0
blackboard	named_entity	candidate	1	31	31	0	0	0	3.02	1	0		0	0
steve	named_entity	candidate	1	31	31	0	0	0	4.71	1	1		0	0
annie	named_entity	candidate	1	30	30	0	0	0	3.94	1	1		0	0
litres	domain_term		1	30	0	0	30	0	3.22	0	0	litre	0	0
tilly	named_entity	candidate	1	30	30	0	0	0	2.94	1	1		0	0
tweetie	named_entity	candidate	1	30	30	0	0	0	1.59	1	1		0	0
disgusting	inflection_miss		1	29	29	0	0	0	4.23	0	0	disgust	1	0
nora	named_entity	candidate	1	28	28	0	0	0	3.52	1	1		0	0
ralph	named_entity	candidate	1	28	28	0	0	0	4.1	1	1		0	0
troubled	inflection_miss		1	28	28	0	0	0	3.91	0	0	trouble	1	0
grown	inflection_miss		1	27	27	0	0	0	4.67	0	0	grow	1	0
maggie	named_entity	candidate	1	27	27	0	0	0	3.8	1	1		0	0
aeos	named_entity	candidate	1	26	0	0	0	26	0.0	1	1	aeo	0	0
cindy	named_entity	candidate	1	26	26	0	0	0	3.58	1	1		0	0
gary	named_entity	candidate	1	26	26	0	0	0	4.39	1	1		0	0
nemo	named_entity	candidate	1	26	26	0	0	0	3.17	1	1		0	0
abigail	named_entity	candidate	1	25	25	0	0	0	3.38	1	1		0	0
clara	named_entity	candidate	1	25	25	0	0	0	3.8	1	1		0	0
emmy	named_entity	candidate	1	25	25	0	0	0	3.73	1	1		0	0
gifted	inflection_miss		1	25	25	0	0	0	3.89	0	0	gift	1	0
republic	named_entity	candidate	1	25	0	0	0	25	4.6	1	1		0	0
yay	named_entity	candidate	1	25	25	0	0	0	3.92	1	1		0	0
beth	named_entity	candidate	1	24	24	0	0	0	3.87	1	1		0	0
cjeu	named_entity	candidate	1	24	0	0	0	24	1.85	1	1		0	0
chirpy	named_entity	candidate	1	23	23	0	0	0	2.23	1	1		0	0
cn	named_entity	candidate	1	23	0	0	0	23	3.38	1	1		0	0
jerry	named_entity	candidate	1	23	23	0	0	0	4.26	1	1		0	0
milly	named_entity	candidate	1	23	23	0	0	0	3.05	1	1		0	0
rex	named_entity	candidate	1	23	23	0	0	0	3.89	1	1		0	0
vroom	named_entity	candidate	1	23	23	0	0	0	2.72	0	1		0	0
bobo	named_entity	candidate	1	22	22	0	0	0	3.01	1	1		0	0
chloe	named_entity	candidate	1	22	22	0	0	0	3.75	1	1		0	0
julia	named_entity	candidate	1	22	22	0	0	0	4.12	1	1		0	0
claire	named_entity	candidate	1	21	21	0	0	0	3.98	1	1		0	0
cooler	inflection_miss		1	21	21	0	0	0	3.96	0	0	cool	1	0
declarations	domain_term		1	21	0	0	0	21	3.23	0	0	declaration	0	0
israel	named_entity	candidate	1	21	0	0	0	21	4.77	1	1		0	0
mimi	named_entity	candidate	1	21	21	0	0	0	3.31	1	1		0	0
originating	domain_term		1	21	0	0	0	21	3.48	0	0	originate	0	0
annex	named_entity	candidate	1	20	0	0	0	20	3.5	1	1		0	0
buzzy	named_entity	candidate	1	20	20	0	0	0	2.46	1	1		0	0
luna	named_entity	candidate	1	20	20	0	0	0	3.62	1	1		0	0
suzy	named_entity	candidate	1	20	20	0	0	0	3.15	1	1		0	0
tobacco	named_entity	candidate	1	20	0	0	20	0	4.19	1	1		0	0
abbie	named_entity	candidate	1	19	19	0	0	0	2.93	1	1		0	0
aeoc	named_entity	candidate	1	19	0	0	0	19	0.0	1	1		0	0
betsy	named_entity	candidate	1	19	19	0	0	0	3.42	1	1		0	0
binky	named_entity	candidate	1	19	19	0	0	0	2.36	1	1		0	0
certificate	named_entity	candidate	1	19	0	0	0	19	4.29	1	0		0	0
julie	named_entity	candidate	1	19	19	0	0	0	4.09	1	1		0	0
simplifications	domain_term		1	19	0	0	0	19	2.13	0	0	simplification	0	0
authorisation	domain_term		1	18	0	0	0	18	3.03	0	0		0	0
e.g.	junk	structural	1	18	0	0	0	18	4.53	0	0		0	0
hidden	inflection_miss		1	18	18	0	0	0	4.53	0	0	hide	1	0
liz	named_entity	candidate	1	18	18	0	0	0	3.83	1	1		0	0
pandy	named_entity	candidate	1	18	18	0	0	0	1.83	1	1		0	0
todd	named_entity	candidate	1	18	18	0	0	0	4.09	1	1		0	0
ukrainian	named_entity	candidate	1	18	0	0	0	18	4.18	1	1		0	0
jacky	named_entity	candidate	1	17	17	0	0	0	2.82	1	1		0	0
kelly	named_entity	candidate	1	17	17	0	0	0	4.44	1	1		0	0
nana	named_entity	candidate	1	17	17	0	0	0	3.54	1	1		0	0
super	named_entity	candidate	1	17	17	0	0	0	5.08	1	1		0	0
tina	named_entity	candidate	1	17	17	0	0	0	3.76	1	1		0	0
yum	named_entity	candidate	1	17	17	0	0	0	3.46	1	1		0	0
lizzie	named_entity	candidate	1	16	16	0	0	0	3.34	1	1		0	0
sparkling	inflection_miss		1	16	16	0	0	0	3.56	0	0	sparkle	1	0
v.	junk	structural	1	16	0	0	0	16	5.06	0	0		0	0
authorisations	named_entity	candidate	1	15	0	0	0	15	1.86	0	1	authorisation	0	0
brazil	named_entity	candidate	1	15	0	0	0	15	4.58	1	1		0	0
bun	named_entity	candidate	1	15	15	0	0	0	3.56	1	1		0	0
circulation	domain_term		1	15	0	0	0	15	3.96	0	0		0	0
getting	inflection_miss		1	15	15	0	0	0	5.57	0	0	get	1	0
i.e.	junk	structural	1	15	0	0	0	15	4.52	0	0		0	0
johnson	named_entity	candidate	1	15	15	0	0	0	4.72	1	1		0	0
larry	named_entity	candidate	1	15	15	0	0	0	4.28	1	1		0	0
lulu	named_entity	candidate	1	15	15	0	0	0	3.33	1	1		0	0
robbie	named_entity	candidate	1	15	15	0	0	0	3.84	1	1		0	0
counting	inflection_miss		1	14	14	0	0	0	4.27	0	0	count	1	0
doug	named_entity	candidate	1	14	14	0	0	0	4.02	1	1		0	0
goodnight	named_entity	candidate	1	14	14	0	0	0	3.64	1	1		0	0
kim	named_entity	candidate	1	14	14	0	0	0	4.59	1	1		0	0
rita	named_entity	candidate	1	14	14	0	0	0	3.75	1	1		0	0
ryan	named_entity	candidate	1	14	14	0	0	0	4.59	1	1		0	0
stuck	inflection_miss		1	14	14	0	0	0	4.68	0	0	stick	1	0
suzie	named_entity	candidate	1	14	14	0	0	0	2.77	1	1		0	0
abby	named_entity	candidate	1	13	13	0	0	0	3.56	1	1		0	0
e	junk	structural	1	13	0	0	0	13	5.28	1	0		0	0
judy	named_entity	candidate	1	13	13	0	0	0	3.79	1	1		0	0
nina	named_entity	candidate	1	13	13	0	0	0	3.85	1	1		0	0
stella	named_entity	candidate	1	13	13	0	0	0	3.7	1	1		0	0
uk	named_entity	candidate	1	13	0	0	0	13	5.12	1	1		0	0
wiggly	named_entity	candidate	1	13	13	0	0	0	2.49	1	1		0	0
flo	named_entity	candidate	1	12	12	0	0	0	3.3	1	1		0	0
importation	domain_term		1	12	0	0	0	12	3.05	0	0		0	0
kayla	named_entity	candidate	1	12	12	0	0	0	3.11	1	1		0	0
lithuanian	named_entity	candidate	1	12	0	0	0	12	3.2	1	1		0	0
michelle	named_entity	candidate	1	12	12	0	0	0	4.16	1	1		0	0
nomenclature	named_entity	candidate	1	12	0	0	0	12	3.21	1	1		0	0
pam	named_entity	candidate	1	12	12	0	0	0	3.6	1	1		0	0
rory	named_entity	candidate	1	12	12	0	0	0	3.72	1	1		0	0
shannon	named_entity	candidate	1	12	12	0	0	0	3.76	1	1		0	0
tabby	named_entity	candidate	1	12	12	0	0	0	2.79	1	1		0	0
wto	named_entity	candidate	1	12	0	0	0	12	3.23	1	1		0	0
becky	named_entity	candidate	1	11	11	0	0	0	3.63	1	1		0	0
brownie	named_entity	candidate	1	11	11	0	0	0	3.21	1	1		0	0
charles	named_entity	candidate	1	11	11	0	0	0	4.77	1	1		0	0
denise	named_entity	candidate	1	11	11	0	0	0	3.57	1	1		0	0
dina	named_entity	candidate	1	11	11	0	0	0	3.09	1	1		0	0
dotty	named_entity	candidate	1	11	11	0	0	0	2.5	1	1		0	0
ernie	named_entity	candidate	1	11	11	0	0	0	3.45	1	1		0	0
exploring	inflection_miss		1	11	11	0	0	0	4.06	0	0	explore	1	0
freight	named_entity	candidate	1	11	0	0	0	11	3.99	1	1		0	0
heading	inflection_miss		1	11	0	0	0	11	4.48	0	0	head	1	0
hub	named_entity	candidate	1	11	0	0	0	11	4.08	1	1		0	0
louie	named_entity	candidate	1	11	11	0	0	0	3.38	1	1		0	0
maya	named_entity	candidate	1	11	11	0	0	0	3.87	1	1		0	0
mmm	named_entity	candidate	1	11	11	0	0	0	3.55	1	1		0	0
nick	named_entity	candidate	1	11	11	0	0	0	4.59	1	1		0	0
patrick	named_entity	candidate	1	11	11	0	0	0	4.37	1	1		0	0
tess	named_entity	candidate	1	11	11	0	0	0	3.23	1	1		0	0
trader	named_entity	candidate	1	11	0	0	0	11	3.77	1	1		0	0
woof	named_entity	candidate	1	11	11	0	0	0	3.12	1	1		0	0
angie	named_entity	candidate	1	10	10	0	0	0	3.35	1	1		0	0
carla	named_entity	candidate	1	10	10	0	0	0	3.44	1	1		0	0
ellie	named_entity	candidate	1	10	10	0	0	0	3.62	1	1		0	0
grandbaby	named_entity	candidate	1	10	10	0	0	0	1.91	1	0		0	0
hannah	named_entity	candidate	1	10	10	0	0	0	4.05	1	1		0	0
isabel	named_entity	candidate	1	10	10	0	0	0	3.57	1	1		0	0
jana	named_entity	candidate	1	10	10	0	0	0	3.06	1	1		0	0
linda	named_entity	candidate	1	10	10	0	0	0	4.06	1	1		0	0
liza	named_entity	candidate	1	10	10	0	0	0	3.28	1	1		0	0
macy	named_entity	candidate	1	10	10	0	0	0	3.01	1	1		0	0
mae	named_entity	candidate	1	10	10	0	0	0	3.65	1	1		0	0
margaret	named_entity	candidate	1	10	10	0	0	0	4.23	1	1		0	0
maxi	named_entity	candidate	1	10	10	0	0	0	3.26	1	1		0	0
pippin	named_entity	candidate	1	10	10	0	0	0	2.78	1	1		0	0
russel	named_entity	candidate	1	10	10	0	0	0	3.03	1	1		0	0
sophia	named_entity	candidate	1	10	10	0	0	0	3.7	1	1		0	0
timothy	named_entity	candidate	1	10	10	0	0	0	3.82	1	1		0	0
yuck	named_entity	candidate	1	10	10	0	0	0	3.06	1	1		0	0
accession	named_entity	candidate	1	9	0	0	0	9	3.4	1	1		0	0
africa	named_entity	candidate	1	9	0	0	0	9	4.92	1	1		0	0
ashley	named_entity	candidate	1	9	9	0	0	0	4.11	1	1		0	0
authorised	named_entity	candidate	1	9	0	0	0	9	3.61	1	1	authorise	0	0
ayla	named_entity	candidate	1	9	9	0	0	0	2.41	1	1		0	0
bruce	named_entity	candidate	1	9	9	0	0	0	4.34	1	1		0	0
cargo	named_entity	candidate	1	9	0	0	0	9	4.19	1	1		0	0
cari	named_entity	candidate	1	9	9	0	0	0	2.38	1	1		0	0
certification	domain_term		1	9	0	0	0	9	3.97	0	0		0	0
chris	named_entity	candidate	1	9	9	0	0	0	4.81	1	1		0	0
classified	domain_term		1	9	0	0	0	9	4.26	0	0	classify	0	0
diana	named_entity	candidate	1	9	9	0	0	0	4.02	1	1		0	0
emilda	named_entity	candidate	1	9	9	0	0	0	0.0	1	1		0	0
ets	named_entity	candidate	1	9	0	0	0	9	2.95	1	1		0	0
evfta	named_entity	candidate	1	9	0	0	0	9	0.0	1	1		0	0
fertilisers	named_entity	candidate	1	9	0	0	0	9	2.42	1	1	fertiliser	0	0
gavin	named_entity	candidate	1	9	9	0	0	0	3.74	1	1		0	0
georgi	named_entity	candidate	1	9	0	0	0	9	2.63	1	1		0	0
gracie	named_entity	candidate	1	9	9	0	0	0	3.24	1	1		0	0
harry	named_entity	candidate	1	9	9	0	0	0	4.72	1	1		0	0
hopping	inflection_miss		1	9	9	0	0	0	3.43	0	0	hop	1	0
jean	named_entity	candidate	1	9	9	0	0	0	4.36	1	1		0	0
jeff	named_entity	candidate	1	9	9	0	0	0	4.45	1	1		0	0
maisy	named_entity	candidate	1	9	9	0	0	0	1.97	1	1		0	0
martin	named_entity	candidate	1	9	9	0	0	0	4.74	1	1		0	0
nancy	named_entity	candidate	1	9	9	0	0	0	4.14	1	1		0	0
oliver	named_entity	candidate	1	9	9	0	0	0	4.22	1	1		0	0
para	named_entity	candidate	1	9	0	0	0	9	3.85	1	0		0	0
representation	domain_term		1	9	0	0	0	9	4.34	0	0		0	0
