sublist	family_head	action	eo_root	eo_word	eo_gloss	flag	head_pos	head_in_lexicon	n_forms	n_new	n_present	forms_new	forms_present	component_roots	alt_candidates	proposed_tier	cefr	decision	notes
1	data	LINK	data	datao	data	ok	NOUN	2	1	0	1		data(2)		dataoj, dateno, datenoj, datuma, datumo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor; single-form family (head only)
1	define	LINK	difin	difini	to allot, define, determine	ok	VERB	2	12	10	2	definable:ADJ;defined:VERB;defines:NOUN;defining:VERB;definitions:NOUN;redefine:VERB;redefined:VERB;redefines:NOUN;redefining:VERB;undefined:ADJ	define(2);definition(2)		precizigi	3	C1		head already in lexicon (tier 2)
1	derive	NEW	deriv	derivi	to derive, differentiate	ok	VERB	no	8	8	0	derive:VERB;derivation:NOUN;derivations:NOUN;derivative:ADJ;derivatives:NOUN;derived:VERB;derives:VERB;deriving:VERB			deveni, devenigi	3	C1		
1	distribute	LINK	disdon	disdoni	to deal out, distribute, dispense, give out, share, dispatch	ok	VERB	2	14	12	2	distributed:VERB;distributing:VERB;distributional:ADJ;distributions:NOUN;distributive:ADJ;distributor:NOUN;distributors:NOUN;redistribute:VERB;redistributed:VERB;redistributes:VERB;redistributing:NOUN;redistribution:NOUN	distribute(2);distribution(2)		disporti, dissendi, disŝuti, distribui	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	economy	LINK	ŝpar	ŝparo	economy, saving	ok	NOUN	2	9	7	2	economical:ADJ;economically:ADV;economics:NOUN;economies:NOUN;economist:NOUN;economists:NOUN;uneconomical:ADJ	economy(2);economic(2)		ekonomio, ŝparado, ŝparemo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	environment	LINK	etos	etoso	atmosphere, environment, ethos, mood, look-and-feel, skin, theme	ok	NOUN	2	6	4	2	environmentalist:NOUN;environmentalists:NOUN;environmentally:ADV;environments:NOUN	environment(2);environmental(2)		biomedio, ĉirkaŭaĵo, ĉirkaŭaĵoj, ĉirkaŭejo, medio	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	establish	LINK	fond	fondi	to erect, establish, form, found, institute	ok	VERB	2	11	9	2	disestablish:NOUN;disestablished:VERB;disestablishes:NOUN;disestablishing:VERB;disestablishment:NOUN;established:VERB;establishes:NOUN;establishing:VERB;establishments:NOUN	establish(2);establishment(3)		establi, fundamenti, konstati, konstrui	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	estimate	LINK	taks	taksi	to appraise, estimate, rate, assess, tax, value, evaluate	ok	NOUN	2	15	14	1	estimated:VERB;estimates:VERB;estimating:VERB;estimation:NOUN;estimations:NOUN;over-estimate:ADP;overestimate:NOUN;overestimated:VERB;overestimates:NOUN;overestimating:VERB;underestimate:ADJ;underestimated:VERB;underestimates:VERB;underestimating:VERB	estimate(2)		antaŭkalkuli, diveno, prezkonjekto, pritaksi, taksado	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	evident	LINK	evident	evidenta	evident, obvious, manifest, unmistakable, clear	ok	ADJ	no	5	4	1	evident:ADJ;evidenced:VERB;evidential:ADJ;evidently:ADV	evidence(2)			3	C1		
1	export	LINK	elport	elporti	to bear, carry out, endure, put up with, suffer; to export	ok	NOUN	2	6	5	1	exported:VERB;exporter:NOUN;exporters:NOUN;exporting:VERB;exports:NOUN	export(2)		eksportaĵo, eksporti, eksporto, elporto	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	factor	LINK	faktor	faktoro	agent, factor, steward	ok	NOUN	2	4	3	1	factored:VERB;factoring:VERB;factors:NOUN	factor(2)			3	C1		head already in lexicon (tier 2)
1	finance	LINK	financ	financi	to finance	ok	NOUN	2	8	6	2	financed:VERB;finances:NOUN;financially:ADV;financier:NOUN;financiers:NOUN;financing:NOUN	finance(2);financial(2)		financado, financo	3	C1		head already in lexicon (tier 2)
1	formula	NEW	formul	formula	formula	ok	NOUN	no	13	13	0	formula:NOUN;formulae:ADJ;formulas:NOUN;formulate:VERB;formulated:VERB;formulating:VERB;formulation:NOUN;formulations:NOUN;reformulate:VERB;reformulated:VERB;reformulating:VERB;reformulation:NOUN;reformulations:NOUN			formulo, recepto	3	C1		
1	function	LINK	ofic	ofico	capacity, function, job, office, position, post, employment	ok	NOUN	2	6	5	1	functional:ADJ;functionally:ADV;functioned:VERB;functioning:VERB;functions:NOUN	function(2)		funkcii, funkcio	3	C1		head already in lexicon (tier 2)
1	identify	LINK	identig	identigi	to identify	ok	VERB	2	9	7	2	identifiable:ADJ;identification:NOUN;identified:VERB;identifies:NOUN;identifying:VERB;identities:NOUN;unidentifiable:ADJ	identify(2);identity(2)			3	C1		head already in lexicon (tier 2)
1	income	LINK	rent	rento	annuity, dividend, income, return, revenue	ok	NOUN	2	2	1	1	incomes:NOUN	income(2)		enspezo, enspezoj	3	C1		head already in lexicon (tier 2)
1	indicate	LINK	sign	signi	to indicate, point out, show	ok	VERB	2	9	8	1	indicated:VERB;indicates:VERB;indicating:VERB;indication:NOUN;indications:NOUN;indicative:ADJ;indicator:NOUN;indicators:NOUN	indicate(2)		indiki, montri	3	C1		head already in lexicon (tier 2)
1	individual	LINK	po	poa	individual	ok	NOUN	2	9	8	1	individualised:ADJ;individualism:NOUN;individualist:NOUN;individualistic:ADJ;individualists:NOUN;individuality:NOUN;individually:ADV;individuals:NOUN	individual(2)		individua, individuo, unuopa, unuopula, unuopulo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	interpret	LINK	traduk	traduki	to interpret, translate, compile	ok	VERB	2	20	18	2	interpretations:NOUN;interpretative:ADJ;interpreted:VERB;interpreting:VERB;interpretive:ADJ;interprets:VERB;misinterpret:NOUN;misinterpretation:NOUN;misinterpretations:NOUN;misinterpreted:VERB;misinterpreting:VERB;misinterprets:NOUN;reinterpret:NOUN;reinterpretation:NOUN;reinterpretations:NOUN;reinterpreted:VERB;reinterpreting:VERB;reinterprets:NOUN	interpret(2);interpretation(3)		interpreti	3	C1		head already in lexicon (tier 2)
1	involve	LINK	engaĝ	engaĝi	to engage, involve	ok	VERB	2	6	4	2	involvement:NOUN;involves:VERB;involving:VERB;uninvolved:ADJ	involve(2);involved(2)		koncerni, kuntreniĝi	3	C1		head already in lexicon (tier 2)
1	issue	LINK	idar	idaro	descendants, issue, offspring, posterity, progeny, young	ok	NOUN	2	4	3	1	issued:VERB;issues:NOUN;issuing:VERB	issue(2)		atendindaĵo, atentindaĵo, eldoni, eldono, elflui	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	labour	NEW	akuŝ	akuŝi	to (be in) labor, be in the process of giving birth	ok	NOUN	no	7	6	1	labour:NOUN;labored:VERB;labors:NOUN;laboured:VERB;labouring:VERB;labours:VERB	labor(2)		akuŝiĝa, akuŝiĝo, akuŝpeno, dungiĝa, laborego	3	C1		anchored via US spelling (labour→labor); multiple EO senses — verify anchor
1	legal	LINK	jur	jura	legal	ok	ADJ	2	6	4	2	illegality:NOUN;illegally:ADV;legality:NOUN;legally:ADV	legal(2);illegal(2)		laŭleĝa, legitima, leĝa	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	legislate	NEW	leĝdon	leĝdoni	to legislate	compound	NOUN	no	9	7	2	legislate:NOUN;legislated:VERB;legislates:VERB;legislating:VERB;legislator:NOUN;legislators:NOUN;legislature:NOUN	legislation(3);legislative(3)	leĝ+don		3	C1		
1	major	LINK	eg	ega	considerable, major, great, enormous, intense, extreme	ok	ADJ	2	3	1	2	majorities:NOUN	major(2);majority(2)		ĉefa, dura, majoro, maĵora	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	method	LINK	metod	metodo	method	ok	NOUN	2	6	5	1	methodical:ADJ;methodological:ADJ;methodologies:NOUN;methodology:NOUN;methods:NOUN	method(2)		procedo	3	C1		head already in lexicon (tier 2)
1	occur	LINK	agad	agadi	to act, occur, take place	ok	VERB	2	10	9	1	occurred:VERB;occurrence:NOUN;occurrences:NOUN;occurring:VERB;occurs:VERB;reoccur:VERB;reoccurred:NOUN;reoccurring:VERB;reoccurs:NOUN	occur(2)		okazi	3	C1		head already in lexicon (tier 2)
1	percent	LINK	elcent	elcento	percent, percentage	ok	NOUN	2	3	1	2	percentages:NOUN	percent(2);percentage(2)		procento	3	C1		head already in lexicon (tier 2)
1	period	LINK	epok	epoko	age, epoch, era, period	ok	NOUN	1	6	5	1	periodic:ADJ;periodical:ADJ;periodically:ADV;periodicals:NOUN;periods:NOUN	period(1)		epoĥo, etapo, monataĵo, mondaĝo, periodo	3	C1		head already in lexicon (tier 1); multiple EO senses — verify anchor
1	policy	LINK	polis	poliso	policy, insurance policy	ok	NOUN	2	2	1	1	policies:NOUN	policy(2)		kondutmaniero, politiko	3	C1		head already in lexicon (tier 2)
1	principle	LINK	leĝ	leĝo	law, principle	ok	NOUN	2	4	3	1	principled:VERB;principles:NOUN;unprincipled:ADJ	principle(2)		maksimo, principo	3	C1		head already in lexicon (tier 2)
1	proceed	NEW	proced	procedi	to act, proceed	ok	VERB	no	8	6	2	proceed:VERB;procedural:ADJ;procedures:NOUN;proceeded:VERB;proceeding:VERB;proceeds:NOUN	procedure(2);proceedings(3)		progresi	3	C1		
1	process	LINK	trakt	trakti	to deal with, handle, treat, process	ok	NOUN	2	4	3	1	processed:VERB;processes:VERB;processing:VERB	process(2)		apofizo, prilabori, prilaboro, procedo, proceza	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	require	LINK	bezon	bezoni	to need, require, want	ok	VERB	2	6	4	2	required:VERB;requirements:NOUN;requires:VERB;requiring:VERB	require(2);requirement(2)		postuli	3	C1		head already in lexicon (tier 2)
1	research	LINK	esplor	esplora	scientific, exploratory, research	ok	NOUN	2	6	4	2	researched:VERB;researchers:NOUN;researches:VERB;researching:VERB	research(2);researcher(2)		esplorado, esplori, esploro, funkciad-esplorado, funkciadesplorado	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	respond	LINK	reag	reagi	to react, respond	ok	VERB	2	11	9	2	responded:VERB;respondent:ADV;respondents:NOUN;responding:VERB;responds:VERB;responses:NOUN;responsive:ADJ;responsiveness:NOUN;unresponsive:ADJ	respond(2);response(2)		respondi	3	C1		head already in lexicon (tier 2)
1	role	LINK	rol	rolo	character, part, role, rôle (acting)	ok	NOUN	2	2	1	1	roles:NOUN	role(2)			3	C1		head already in lexicon (tier 2)
1	section	LINK	fak	fako	area of expertise, branch, compartment, department, section, specialty, subject, discipline	ok	NOUN	1	4	3	1	sectioned:VERB;sectioning:VERB;sections:NOUN	section(1)		longaĵo, paragrafo, parto, rubriko, sekcio	3	C1		head already in lexicon (tier 1); multiple EO senses — verify anchor
1	sector	LINK	sektor	sektoro	industry, sector	ok	NOUN	2	2	1	1	sectors:NOUN	sector(2)			3	C1		head already in lexicon (tier 2)
1	significant	LINK	signif	signifa	significant	ok	ADJ	2	9	7	2	insignificant:NOUN;insignificantly:ADV;significance:NOUN;signified:VERB;signifies:VERB;signify:VERB;signifying:VERB	significant(2);significantly(2)		malbagatela, multsignifa, signifoplena	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	similar	LINK	laŭ	laŭa	similar, like; transverse, cross-	ok	ADJ	1	5	2	3	dissimilar:ADJ;similarities:NOUN	similar(1);similarity(2);similarly(2)		samspeca, simila	3	C1		head already in lexicon (tier 1)
1	source	LINK	font	fonta	source	ok	NOUN	2	4	3	1	sourced:VERB;sources:NOUN;sourcing:VERB	source(2)		defonta, devenloko, deveno, fontaj, fontaĵo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	specific	LINK	specif	specifa	specific	ok	ADJ	2	6	4	2	specification:NOUN;specifications:NOUN;specificity:NOUN;specifics:NOUN	specific(2);specifically(2)		specifika	3	C1		head already in lexicon (tier 2)
1	structure	LINK	struktur	strukturi	to structure, format (disk)	ok	NOUN	2	11	10	1	restructure:NOUN;restructured:VERB;restructures:NOUN;restructuring:VERB;structural:ADJ;structurally:ADV;structured:VERB;structures:NOUN;structuring:VERB;unstructured:ADJ	structure(2)		ĉarpentaĵo, konstruaĵo, strukturo, teksbazo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	theory	LINK	teori	teorio	theory	ok	NOUN	2	6	5	1	theoretical:ADJ;theoretically:ADV;theories:NOUN;theorist:NOUN;theorists:NOUN	theory(2)			3	C1		head already in lexicon (tier 2)
1	vary	LINK	vari	varii	to vary	ok	VERB	2	15	14	1	invariable:ADJ;invariably:ADV;variability:NOUN;variable:ADJ;variables:NOUN;variably:ADV;variance:NOUN;variant:NOUN;variants:NOUN;variation:NOUN;variations:NOUN;varied:ADJ;varies:VERB;varying:VERB	vary(2)		diversi	3	C1		head already in lexicon (tier 2)
2	achieve	LINK	far	fari	to achieve, act, do, make, perform, build	ok	VERB	2	7	5	2	achievable:ADJ;achieved:VERB;achievements:NOUN;achieves:VERB;achieving:VERB	achieve(2);achievement(2)		akiri, atingi, efektivigi, elfari, plenumi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	acquire	LINK	akir	akiri	to achieve, acquire, attain, get, obtain	ok	VERB	2	6	5	1	acquired:VERB;acquires:NOUN;acquiring:VERB;acquisition:NOUN;acquisitions:NOUN	acquire(2)		aĉetakiri, aĉeti, akiradi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	administrate					no_match	NOUN	no	8	5	3	administrate:NOUN;administrates:NOUN;administrations:NOUN;administratively:ADV;administrators:NOUN	administration(2);administrative(3);administrator(3)			3	C1		
2	affect	LINK	emoci	emocii	to affect, move, stir	ok	VERB	2	7	6	1	affected:VERB;affecting:VERB;affective:NOUN;affectively:ADV;affects:VERB;unaffected:ADJ	affect(2)		afekcii, afekcio, emociiĝo, influi, kortuŝi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	appropriate	LINK	buĝet	buĝeti	to appropriate	ok	ADJ	2	7	6	1	appropriacy:NOUN;appropriately:ADV;appropriateness:NOUN;inappropriacy:NOUN;inappropriate:ADJ;inappropriately:ADV	appropriate(2)		adekvata, konvena, monasigni, proprigi, trafeca	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	aspect	LINK	faz	fazo	phase, stage, aspect	ok	NOUN	2	2	1	1	aspects:NOUN	aspect(2)		aspektaĵo, aspekto, mieno, vidiĝo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	assist	LINK	help	helpi	to accommodate, aid, assist, help	ok	NOUN	2	8	6	2	assistance:NOUN;assistants:NOUN;assisted:VERB;assisting:VERB;assists:NOUN;unassisted:ADJ	assist(2);assistant(2)		asisti	3	C1		head already in lexicon (tier 2)
2	category	LINK	kategori	kategorio	category	ok	NOUN	2	11	10	1	categories:NOUN;categorisation:NOUN;categorise:VERB;categorised:VERB;categorises:NOUN;categorising:VERB;categorization:NOUN;categorized:VERB;categorizes:VERB;categorizing:VERB	category(2)			3	C1		head already in lexicon (tier 2)
2	chapter	LINK	sekci	sekcio	branch, chapter, section	ok	NOUN	2	2	1	1	chapters:NOUN	chapter(2)		ĉapitro	3	C1		head already in lexicon (tier 2)
2	commission	LINK	komisi	komisii	to appoint, assign, authorize, charge, entrust, instruct, commission	ok	NOUN	2	6	5	1	commissioned:VERB;commissioner:NOUN;commissioners:NOUN;commissioning:VERB;commissions:NOUN	commission(2)		enoficigi, komisiitaro, komisio, komisiono, makleraĵo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	community	LINK	komunaĵ	komunaĵo	common property, community, intersection (of sets), pool	ok	NOUN	2	2	1	1	communities:NOUN	community(2)		komuneco, komunuma, komunumaro, komunumo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	complex	LINK	artifik	artifika	contrived, sophisticated, complex, tricky	ok	NOUN	2	3	2	1	complexities:NOUN;complexity:NOUN	complex(2)		kompleksa, komplekso, komplika, konstruaĵaro, malsimpla	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	compute	LINK	kalkul	kalkuli	to calculate, count, figure, work out, compute, reckon, enumerate	ok	NOUN	no	10	9	1	compute:NOUN;computable:ADJ;computation:NOUN;computational:ADJ;computations:NOUN;computed:VERB;computerised:VERB;computers:NOUN;computing:NOUN	computer(1)		komputi	3	C1		
2	conclude	LINK	fin	fini	to end, finish, terminate, close, conclude	ok	VERB	2	10	8	2	concluded:VERB;concludes:VERB;concluding:VERB;conclusions:NOUN;conclusive:ADJ;conclusively:ADV;inconclusive:ADJ;inconclusively:ADV	conclude(2);conclusion(2)		finaranĝi, findecidi, konkludi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	conduct	LINK	gvid	gvidi	to conduct, direct, drive, guide, lead, show the way	ok	NOUN	2	4	3	1	conducted:VERB;conducting:VERB;conducts:NOUN	conduct(2)		direkti, konduki, konduko, kondukti, konduti	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	consequent	NEW	postsekv	postsekva	consequent	ok	NOUN	no	4	3	1	consequent:NOUN;consequences:NOUN;consequently:ADV	consequence(2)		konsekvenca, konsekvenco	3	C1		
2	construct	LINK	konstru	konstrui	to build, construct, craft, erect, establish	ok	VERB	2	12	10	2	constructed:VERB;constructing:VERB;constructions:NOUN;constructive:ADJ;constructs:VERB;reconstruct:VERB;reconstructed:VERB;reconstructing:VERB;reconstruction:NOUN;reconstructs:NOUN	construct(2);construction(2)		ĉarpenti, kunmetaĵo	3	C1		head already in lexicon (tier 2)
2	consume	LINK	elĉerp	elĉerpi	to ladle out, scoop out, exhaust, use up, consume	ok	VERB	2	7	5	2	consumed:VERB;consumers:NOUN;consumes:VERB;consuming:VERB;consumption:NOUN	consume(2);consumer(2)		forĉerpi, konsumi	3	C1		head already in lexicon (tier 2)
2	credit	LINK	agnosk	agnosko	acknowledgment, credit	ok	NOUN	2	6	5	1	credited:VERB;crediting:VERB;creditor:NOUN;creditors:NOUN;credits:NOUN	credit(2)		bonhavo, kredito, profita	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	culture	LINK	kultur	kulturo	culture	ok	NOUN	1	6	4	2	culturally:ADV;cultured:ADJ;cultures:NOUN;uncultured:ADJ	culture(1);cultural(2)			3	C1		head already in lexicon (tier 1)
2	design	LINK	plan	plano	design, diagram, plan, blueprint	ok	NOUN	1	6	4	2	designed:VERB;designers:NOUN;designing:VERB;designs:NOUN	design(1);designer(2)		aspektigi, desegnado, desegnaĵo, desegnarto, desegni	3	C1		head already in lexicon (tier 1); multiple EO senses — verify anchor
2	distinct	LINK	net	neta	cleanly cut, neat, precise, net (weight, etc.), distinct	ok	VERB	no	8	8	0	distinct:VERB;distinction:NOUN;distinctions:NOUN;distinctive:ADJ;distinctively:ADV;distinctly:ADV;indistinct:NOUN;indistinctly:ADV			aparta, klara, malsama, perceptebla	3	C1		multiple EO senses — verify anchor
2	element	LINK	er	ero	element, fragment, item, entry, particle, item, unit, piece, grain, component, segment; era	ok	NOUN	2	2	1	1	elements:NOUN	element(2)		elementaĵo, elemento, fundamento, ingredienco, konsistigaĵo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	equate	NEW	egalig	egaligi	to equalize, even, level, match, equate	ok	NOUN	no	6	6	0	equate:NOUN;equated:VERB;equates:NOUN;equating:VERB;equation:NOUN;equations:NOUN				3	C1		
2	evaluate	LINK	taks	taksi	to appraise, estimate, rate, assess, tax, value, evaluate	ok	VERB	2	12	11	1	evaluated:VERB;evaluates:NOUN;evaluating:VERB;evaluation:NOUN;evaluations:NOUN;evaluative:ADJ;re-evaluate:VERB;re-evaluated:VERB;re-evaluates:NOUN;re-evaluating:VERB;re-evaluation:NOUN	evaluate(2)			3	C1		head already in lexicon (tier 2)
2	feature	LINK	ebl	eblo	possibility, feature, ability	ok	NOUN	2	4	3	1	featured:VERB;features:VERB;featuring:VERB	feature(2)		ĉefroli, distingilo, ebleco, esprimilo, konstantaĵo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	final	LINK	fin	fina	final	ok	ADJ	1/2	12	10	2	finalise:VERB;finalised:VERB;finalises:NOUN;finalising:VERB;finality:NOUN;finalize:VERB;finalized:VERB;finalizes:VERB;finalizing:VERB;finals:NOUN	final(1/2);finally(2)		difinitiva	3	C1		head already in lexicon (tier 1/2)
2	focus	LINK	fokus	fokusi	to focus	ok	VERB	2	13	12	1	focused:VERB;focuses:VERB;focusing:VERB;focussed:VERB;focussing:VERB;refocus:NOUN;refocused:VERB;refocuses:NOUN;refocusing:VERB;refocussed:VERB;refocusses:VERB;refocussing:VERB	focus(2)		enfokusigi, enfokusigo, fokusigo, fokuso	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	impact	LINK	kunfrap	kunfrapo	impact	ok	NOUN	2	4	3	1	impacted:VERB;impacting:VERB;impacts:NOUN	impact(2)			3	C1		head already in lexicon (tier 2)
2	injure	LINK	lez	lezi	to harm, hurt, injure	ok	NOUN	2	7	4	3	injures:NOUN;injuries:NOUN;injuring:VERB;uninjured:ADJ	injure(2);injured(2);injury(2)		damaĝi, difekti, vundi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	institute	LINK	fond	fondi	to erect, establish, form, found, institute	ok	NOUN	2	15	13	2	instituted:VERB;institutes:VERB;instituting:VERB;institutional:ADJ;institutionalise:VERB;institutionalised:VERB;institutionalises:NOUN;institutionalising:VERB;institutionalized:VERB;institutionalizes:NOUN;institutionalizing:VERB;institutionally:ADV;institutions:NOUN	institute(2);institution(2)		instituto	3	C1		head already in lexicon (tier 2)
2	invest	LINK	plas	plasi	to invest	ok	VERB	2	13	11	2	invested:VERB;investing:VERB;investments:NOUN;investor:NOUN;investors:NOUN;invests:NOUN;reinvest:NOUN;reinvested:VERB;reinvesting:VERB;reinvestment:NOUN;reinvests:NOUN	invest(2);investment(2)		investi, investituri, procentdoni	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	item	LINK	an	ano	member, supporter, item, entry	ok	NOUN	2	7	6	1	itemisation:NOUN;itemise:VERB;itemised:VERB;itemises:NOUN;itemising:VERB;items:NOUN	item(2)		elemento, ero	3	C1		head already in lexicon (tier 2)
2	journal	LINK	revu	revuo	journal, magazine, periodical, review	ok	NOUN	2	2	1	1	journals:NOUN	journal(2)		ĵurnalo, taglibro	3	C1		head already in lexicon (tier 2)
2	maintain	LINK	pluig	pluigi	to continue, extend, go on, maintain, proceed with, sustain	ok	VERB	2	5	4	1	maintained:VERB;maintaining:VERB;maintains:VERB;maintenance:NOUN	maintain(2)		argumenti, bonteni, funkciteni, konservi, pretendi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
2	normal	LINK	norm	norma	normal, standard	ok	ADJ	2	15	13	2	abnormal:ADJ;abnormally:ADV;normalisation:NOUN;normalise:VERB;normalised:VERB;normalises:NOUN;normalising:VERB;normality:NOUN;normalization:NOUN;normalize:VERB;normalized:VERB;normalizes:VERB;normalizing:VERB	normal(2);normally(2)		normala, ortanto	3	C1		head already in lexicon (tier 2)
