en_lemma	final_eo_root	final_eo_word	old_gloss	anchor_source	reason
brainstorm	um	cerbumado		curated	final_eo_word not found in ESPDIC — verify anchor
busily	okup	okupite		curated	final_eo_word not found in ESPDIC — verify anchor
cartwheel	rad	flankrado		curated	final_eo_word not found in ESPDIC — verify anchor
cheery	gaj	gajeta		curated	final_eo_word not found in ESPDIC — verify anchor
chomp	maĉ	maĉegi		curated	final_eo_word not found in ESPDIC — verify anchor
classwork	labor	klaslaboro		curated	final_eo_word not found in ESPDIC — verify anchor
contentedly	kontent	kontente		curated	final_eo_word not found in ESPDIC — verify anchor
cooktop	plat	kuirplato		curated	final_eo_word not found in ESPDIC — verify anchor
crawly	ramp	rampa		curated	final_eo_word not found in ESPDIC — verify anchor
dearly	kar	kare		curated	final_eo_word not found in ESPDIC — verify anchor
dinnertime	temp	vespermanĝtempo		curated	final_eo_word not found in ESPDIC — verify anchor
flick	frap	ekfrapeti		curated	final_eo_word not found in ESPDIC — verify anchor
frilly	volan	volana		curated	final_eo_word not found in ESPDIC — verify anchor
goggle	vitr	naĝokulvitroj		curated	final_eo_word not found in ESPDIC — verify anchor
griddle	plat	bakplato		curated	final_eo_word not found in ESPDIC — verify anchor
grimy	kot	kotoza		curated	final_eo_word not found in ESPDIC — verify anchor
hilltop	supr	montetsupro		curated	final_eo_word not found in ESPDIC — verify anchor
homemade	far	hejmfarita		curated	final_eo_word not found in ESPDIC — verify anchor
huff	snuf	eksnufi		curated	final_eo_word not found in ESPDIC — verify anchor
jiggly	trem	tremeta		curated	final_eo_word not found in ESPDIC — verify anchor
lolly	bombon	lekbombono		curated	final_eo_word not found in ESPDIC — verify anchor
lunchbox	kest	manĝokesto		curated	final_eo_word not found in ESPDIC — verify anchor
matey	kamarad	kamaradeca		curated	final_eo_word not found in ESPDIC — verify anchor
meatball	bul	viandbulo		curated	final_eo_word not found in ESPDIC — verify anchor
naptime	temp	dormtempo		curated	final_eo_word not found in ESPDIC — verify anchor
nighttime	temp	noktotempo		curated	final_eo_word not found in ESPDIC — verify anchor
nugget	pec	orpeceto		curated	final_eo_word not found in ESPDIC — verify anchor
opportunistic	oportun	oportunisma		curated	final_eo_word not found in ESPDIC — verify anchor
playdate	kunven	ludkunveno		curated	final_eo_word not found in ESPDIC — verify anchor
pleadingly	pet	petege		curated	final_eo_word not found in ESPDIC — verify anchor
poolside	rand	basenrando		curated	final_eo_word not found in ESPDIC — verify anchor
rainfall	pluv	pluvado		curated	final_eo_word not found in ESPDIC — verify anchor
rainstorm	ŝtorm	pluvoŝtormo		curated	final_eo_word not found in ESPDIC — verify anchor
refreshingly	freŝ	refreŝige		curated	final_eo_word not found in ESPDIC — verify anchor
scariness	tim	timigeco		curated	final_eo_word not found in ESPDIC — verify anchor
selfie	fot	memfoto		curated	final_eo_word not found in ESPDIC — verify anchor
sheepishly	embaras	embarasite		curated	final_eo_word not found in ESPDIC — verify anchor
shoebox	kest	ŝuskesto		curated	final_eo_word not found in ESPDIC — verify anchor
shovels	ŝovel	ŝovelo		curated	final_eo_word not found in ESPDIC — verify anchor
slurp	sorb	laŭtsorbi		curated	final_eo_word not found in ESPDIC — verify anchor
smooshy	mol	premmola		curated	final_eo_word not found in ESPDIC — verify anchor
smoothness	glat	glateco		curated	final_eo_word not found in ESPDIC — verify anchor
spacesuit	kostum	kosmokostumo		curated	final_eo_word not found in ESPDIC — verify anchor
steadily	stabil	stabile		curated	final_eo_word not found in ESPDIC — verify anchor
stretchy	elast	elastika		curated	final_eo_word not found in ESPDIC — verify anchor
suave	ĝentil	elegantĝentila		curated	final_eo_word not found in ESPDIC — verify anchor
summertime	temp	somertempo		curated	final_eo_word not found in ESPDIC — verify anchor
sunburnt	brul	sunbruligita		curated	final_eo_word not found in ESPDIC — verify anchor
swingset	ar	balancilaro		curated	final_eo_word not found in ESPDIC — verify anchor
teary	larm	larmoplena		curated	final_eo_word not found in ESPDIC — verify anchor
tingly	pik	pikpika		curated	final_eo_word not found in ESPDIC — verify anchor
tiptoes	pint	piedpinte		curated	final_eo_word not found in ESPDIC — verify anchor
trek	marŝ	longmarŝo		curated	final_eo_word not found in ESPDIC — verify anchor
truthfully	ver	vereme		curated	final_eo_word not found in ESPDIC — verify anchor
twirly	turn	turniĝema		curated	final_eo_word not found in ESPDIC — verify anchor
unpleasantly	agrabl	malagrable		curated	final_eo_word not found in ESPDIC — verify anchor
unstuck	fiks	malfiksita		curated	final_eo_word not found in ESPDIC — verify anchor
upside	flank	supraflanko		curated	final_eo_word not found in ESPDIC — verify anchor
waggly	sving	svingiĝema		curated	final_eo_word not found in ESPDIC — verify anchor
waggy	sving	svingema		curated	final_eo_word not found in ESPDIC — verify anchor
walkway	voj	promenvojo		curated	final_eo_word not found in ESPDIC — verify anchor
wetsuit	kostum	mergokostumo		curated	final_eo_word not found in ESPDIC — verify anchor
whiteboard	tabul	blanktabulo		curated	final_eo_word not found in ESPDIC — verify anchor
wingbeat	bat	flugilbato		curated	final_eo_word not found in ESPDIC — verify anchor
paw	pied	piedeto	leg, paw, limb	curated	final_eo_word not found in ESPDIC — verify anchor
lime	lime	limeo	lime	curated	final_eo_word not found in ESPDIC — verify anchor
whisker	vibris	vibriso	sideburn, whisker	curated	final_eo_word not found in ESPDIC — verify anchor
marshmallow	marŝmal	marŝmalo		curated	final_eo_word not found in ESPDIC — verify anchor
stalk	kaŝsekv	kaŝsekvi	to pace, stalk, step, stride, tread	curated	final_eo_word not found in ESPDIC — verify anchor
twitch	spasm	spasmeti	twitch	curated	final_eo_word not found in ESPDIC — verify anchor
boarding	enir	enirado	boarding	curated	final_eo_word not found in ESPDIC — verify anchor
swollen	ŝvel	ŝvelinta	to distend, inflate, swell, swollen	curated	final_eo_word not found in ESPDIC — verify anchor
ajar	duonmalferm	duonmalfermita	ajar, discordant	curated	final_eo_word not found in ESPDIC — verify anchor
collage	kolaĝ	kolaĝo	collage	curated	final_eo_word not found in ESPDIC — verify anchor
disguise	alivest	alivestiĝo	disguise	curated	final_eo_word not found in ESPDIC — verify anchor
filling	plenigaĵ	plenigaĵo	filling	curated	final_eo_word not found in ESPDIC — verify anchor
finder	trov	trovanto	finder, search command, search engine, search tool, search function	curated	final_eo_word not found in ESPDIC — verify anchor
tapestry	gobelin	gobelino	tapestry, wall covering, wallpaper	curated	final_eo_word not found in ESPDIC — verify anchor
sparkly	scintil	scintila		curated	final_eo_word not found in ESPDIC — verify anchor
laundry	lav	lavaĵo	laundry, lavatory, washroom	curated	final_eo_word not found in ESPDIC — verify anchor
muffin	mufen	mufeno		curated	final_eo_word not found in ESPDIC — verify anchor
lollipop	lekbombon	lekbombono		curated	final_eo_word not found in ESPDIC — verify anchor
snuggle	alprem	alpremiĝi		curated	final_eo_word not found in ESPDIC — verify anchor
reverse	antaŭ	malantaŭeniri	inverse, inverted, reverse, reversed	curated	final_eo_word not found in ESPDIC — verify anchor
haircut	hartond	hartondo		curated	final_eo_word not found in ESPDIC — verify anchor
scurry	kur	kureti		curated	final_eo_word not found in ESPDIC — verify anchor
venture	aventur	aventuri	to hazard, risk, venture	curated	final_eo_word not found in ESPDIC — verify anchor
mop	ŝvabr	ŝvabrilo	to mop, swab	curated	final_eo_word not found in ESPDIC — verify anchor
prune	sekprun	sekpruno	to crop, trim, prune	curated	final_eo_word not found in ESPDIC — verify anchor
lotion	loci	locio		curated	final_eo_word not found in ESPDIC — verify anchor
glitter	scintil	scintili	to glitter	curated	final_eo_word not found in ESPDIC — verify anchor
hider	kaŝ	kaŝiĝanto	hider, concealer	curated	final_eo_word not found in ESPDIC — verify anchor
itchy	juk	juka		curated	final_eo_word not found in ESPDIC — verify anchor
racer	vetkurist	vetkuristo		curated	final_eo_word not found in ESPDIC — verify anchor
soapy	sap	sapa		curated	final_eo_word not found in ESPDIC — verify anchor
dolly	pup	pupeto	dolly	curated	final_eo_word not found in ESPDIC — verify anchor
jailer	prizongardist	prizongardisto	jailer, prison guard	curated	final_eo_word not found in ESPDIC — verify anchor
mermaid	marvirin	marvirino	mermaid, siren	curated	final_eo_word not found in ESPDIC — verify anchor
scamper	kur	kureti		curated	final_eo_word not found in ESPDIC — verify anchor
tiptoe	piedpint	piedpinte		curated	final_eo_word not found in ESPDIC — verify anchor
puff	puf	pufi	padding, puff, swelling, stuffing, wad, pad	curated	final_eo_word not found in ESPDIC — verify anchor
ranger	parkgardist	parkgardisto		curated	final_eo_word not found in ESPDIC — verify anchor
treehouse	arbodom	arbodomo		curated	final_eo_word not found in ESPDIC — verify anchor
gobble	vor	voregi		curated	final_eo_word not found in ESPDIC — verify anchor
zookeeper	bestogardist	bestogardisto		curated	final_eo_word not found in ESPDIC — verify anchor
sandpit	sabluj	sablujo		curated	final_eo_word not found in ESPDIC — verify anchor
seashell	markonk	markonko		curated	final_eo_word not found in ESPDIC — verify anchor
smiley	rid	rideta	smiley	curated	final_eo_word not found in ESPDIC — verify anchor
townspeople	urban	urbanoj		curated	final_eo_word not found in ESPDIC — verify anchor
