en_lemma	total_freq	final_eo_root	final_eo_word	eo_gloss	band	head_root_inventory_tier	proposed_tier	review_flag
brainstorm	1	um	cerbumado		P6_tail	core	2	
bravado	1	fanfaron	fanfaronado	fanfaronade, ostentation	P6_tail	core	2	
busily	1	okup	okupite		P6_tail	core	2	
careen	1	kur	kuregi	to race, run	P6_tail	core	2	
cartwheel	1	rad	flankrado		P6_tail	core	2	
catchy	1	memor	memorinda	memorable	P6_tail	core	2	
charmy	1	ĉarm	ĉarma	attractive, charming, lovely, pleasing, alluring	P6_tail	core	2	
chatty	1	babil	babilema	talkative, verbose	P6_tail	core	2	
checkup	1	kontrol	kontrolo	check, oversight, scrutiny, verification, diagnostics	P6_tail	core	2	
cheery	1	gaj	gajeta		P6_tail	core	2	
chocolaty	1	ĉokolad	ĉokolada	chocolate	P6_tail	tail	2	rare-anchor
chomp	1	maĉ	maĉegi		P6_tail	core	2	
choppy	1	ond	onda	of a wave	P6_tail	core	2	
classwork	1	labor	klaslaboro		P6_tail	core	2	
cleanly	1	pur	pure	purely	P6_tail	core	2	
cleansing	1	pur	puriga	abluent, sanitary	P6_tail	core	2	
cluttered	1	ord	malorda	bedraggled, chaotic, disheveled	P6_tail	core	2	
companionable	1	amik	amikema	friendly	P6_tail	core	2	
contentedly	1	kontent	kontente		P6_tail	core	2	
conveyor	1	bend	transportbendo	conveyor belt	P6_tail	extended	2	
cooktop	1	plat	kuirplato		P6_tail	core	2	
crawly	1	ramp	rampa		P6_tail	core	2	
crossly	1	koler	kolere	angrily	P6_tail	core	2	
dearly	1	kar	kare		P6_tail	core	2	
dinnertime	1	temp	vespermanĝtempo		P6_tail	core	2	
dipping	1	tremp	trempi	to dip, immerse, plunge, soak, steep	P6_tail	core	2	
disagreeable	1	agrabl	malagrabla	bleak, dismal, dreary, horrible, ghastly, grisly, nasty, unpleasant	P6_tail	core	2	
dollop	1	bul	buleto	pellet, small ball	P6_tail	core	2	
drool	1	bav	bavi	to dribble, slobber	P6_tail	extended	2	
encouragingly	1	kuraĝ	kuraĝige	supportively	P6_tail	core	2	
enforce	1	dev	devigi	to compel, force, coerce, oblige	P6_tail	core	2	
enthral	1	sorĉ	ensorĉi	to bewitch, delude, fascinate	P6_tail	core	2	
eyeshadow	1	ŝmink	okulŝminko	eye shadow	P6_tail	extended	2	
fleck	1	makul	makuleto	speck, spot	P6_tail	core	2	
flick	1	frap	ekfrapeti		P6_tail	core	2	
forwards	1	antaŭ	antaŭen	ahead, forth, forward(s), on(ward)	P6_tail	—	2	rare-anchor
frilly	1	volan	volana		P6_tail	core	2	
glint	1	bril	ekbrilo	flash	P6_tail	core	2	
goggle	1	vitr	naĝokulvitroj		P6_tail	core	2	
gooey	1	glu	glueca	sticky	P6_tail	core	2	
griddle	1	plat	bakplato		P6_tail	core	2	
grimy	1	kot	kotoza		P6_tail	tail	2	rare-anchor
hairstyle	1	aranĝ	hararanĝo	hair style, hairdo	P6_tail	core	2	
hardwork	1	labor	laborego	graft, labor, toil	P6_tail	core	2	
hilarious	1	rid	ridiga	amusing, comedy	P6_tail	core	2	
hilltop	1	supr	montetsupro		P6_tail	core	2	
homemade	1	far	hejmfarita		P6_tail	core	2	
homeward	1	hejm	hejmen	home(wards)	P6_tail	core	2	
hosepipe	1	tub	akvotubo	drain, water-pipe	P6_tail	core	2	
huff	1	snuf	eksnufi		P6_tail	extended	2	
icky	1	naŭz	naŭza	abhorrent, abominable, alien, disgusting, nasty, nauseous	P6_tail	extended	2	
inevitably	1	evit	neeviteble	unavoidably	P6_tail	tail	2	rare-anchor
jiggle	1	sku	skueti	to jog, joggle	P6_tail	core	2	
jiggly	1	trem	tremeta		P6_tail	core	2	
knowledgeable	1	kler	klera	cultured, educated, learned, well-informed, talented, enlightened	P6_tail	core	2	
laze	1	pigr	pigri	to be lazy	P6_tail	extended	2	
ledge	1	kornic	kornico	cornice	P6_tail	tail	2	rare-anchor
lolly	1	bombon	lekbombono		P6_tail	core	2	
lunchbox	1	kest	manĝokesto		P6_tail	core	2	
matey	1	kamarad	kamaradeca		P6_tail	core	2	
meatball	1	bul	viandbulo		P6_tail	core	2	
naptime	1	temp	dormtempo		P6_tail	core	2	
nighttime	1	temp	noktotempo		P6_tail	core	2	
nugget	1	pec	orpeceto		P6_tail	core	2	
operas	1	oper	opero	opera	P6_tail	core	2	
opportunistic	1	oportun	oportunisma		P6_tail	core	2	
playdate	1	kunven	ludkunveno		P6_tail	core	2	
pleadingly	1	pet	petege		P6_tail	core	2	
poolside	1	rand	basenrando		P6_tail	extended	2	
precariously	1	firm	malfirme	loosely	P6_tail	core	2	
rainfall	1	pluv	pluvado		P6_tail	core	2	
rainstorm	1	ŝtorm	pluvoŝtormo		P6_tail	tail	2	rare-anchor
reassurance	1	trankvil	trankviligo	appeasement	P6_tail	core	2	
refreshingly	1	freŝ	refreŝige		P6_tail	extended	2	
riverside	1	bord	riverbordo	riverbank	P6_tail	core	2	
rummage	1	serĉ	traserĉi	to search (in document)	P6_tail	extended	2	
scariness	1	tim	timigeco		P6_tail	core	2	
scourging	1	vip	vipado	flogging, lashing, whipping	P6_tail	core	2	
scuttle	1	kur	forkuri	to abscond, elope, escape, run away	P6_tail	core	2	
securely	1	sekur	sekure	safely	P6_tail	core	2	
selfie	1	fot	memfoto		P6_tail	core	2	
sheepishly	1	embaras	embarasite		P6_tail	core	2	
shoebox	1	kest	ŝuskesto		P6_tail	—	2	rare-anchor
shovels	1	ŝovel	ŝovelo		P6_tail	core	2	
skillfully	1	lert	lerte	cleverly	P6_tail	core	2	
sloppy	1	zorg	malzorga	careless, neglectful, negligent, remiss	P6_tail	core	2	
slurp	1	sorb	laŭtsorbi		P6_tail	core	2	
smooshy	1	mol	premmola		P6_tail	core	2	
smoothness	1	glat	glateco		P6_tail	core	2	
smug	1	kontent	memkontenta	self-content, self-satisfied	P6_tail	core	2	
sneakily	1	kaŝ	kaŝeme	furtively, slyly	P6_tail	core	2	
snowstorm	1	ŝtorm	neĝoŝtormo	blizzard	P6_tail	tail	2	rare-anchor
spacesuit	1	kostum	kosmokostumo		P6_tail	core	2	
spikey	1	pik	pika	nasty, piquant, prickly, pungent	P6_tail	core	2	
squirm	1	tord	tordiĝi	to twist	P6_tail	core	2	
steadily	1	stabil	stabile		P6_tail	core	2	
steamy	1	vapor	vaporplena	damp	P6_tail	core	2	
stretchy	1	elast	elastika		P6_tail	tail	2	rare-anchor
suave	1	ĝentil	elegantĝentila		P6_tail	core	2	
summertime	1	temp	somertempo		P6_tail	core	2	
sunbathe	1	sun	sunumi	to sun, sun oneself, take a sunbath	P6_tail	core	2	
sunburnt	1	brul	sunbruligita		P6_tail	core	2	
swingset	1	ar	balancilaro		P6_tail	core	2	
teary	1	larm	larmoplena		P6_tail	core	2	
thoughtfully	1	pripens	pripenseme	critically, reflectively	P6_tail	core	2	
tingly	1	pik	pikpika		P6_tail	core	2	
tippy	1	stabil	malstabila	unstable	P6_tail	core	2	
tiptoes	1	pint	piedpinte		P6_tail	core	2	
tokens	1	ĵeton	ĵetono	chip, disk, token	P6_tail	core	2	
topping	1	garn	garnaĵo	equipment, accessories, fittings	P6_tail	core	2	
trek	1	marŝ	longmarŝo		P6_tail	core	2	
triumphant	1	triumf	triumfa	triumphal	P6_tail	tail	2	rare-anchor
truthfully	1	ver	vereme		P6_tail	core	2	
tutu	1	jup	baletjupo	ballet skirt	P6_tail	tail	2	rare-anchor
twirly	1	turn	turniĝema		P6_tail	core	2	
unbelievably	1	kred	nekredeble	incredibly	P6_tail	tail	2	rare-anchor
unpleasantly	1	agrabl	malagrable		P6_tail	core	2	
unstuck	1	fiks	malfiksita		P6_tail	core	2	
upside	1	flank	supraflanko		P6_tail	core	2	
vigorously	1	vigl	vigle	vigilantly	P6_tail	core	2	
waggly	1	sving	svingiĝema		P6_tail	core	2	
waggy	1	sving	svingema		P6_tail	core	2	
walkway	1	voj	promenvojo		P6_tail	core	2	
webs	1	arane	araneaĵo	spider web	P6_tail	core	2	
wetsuit	1	kostum	mergokostumo		P6_tail	core	2	
whirling	1	kirl	kirliĝi	to swirl	P6_tail	core	2	
whiteboard	1	tabul	blanktabulo		P6_tail	core	2	
wingbeat	1	bat	flugilbato		P6_tail	core	2	
builder	4	konstru	konstruisto	builder	P6_tail	core	2	
crunch	4	krak	kraki	to bang, clap, crack, snap (noise)	P6_tail	core	2	
hatch	4	kov	kovi	to brood (over), hatch (up), incubate, watch over	P6_tail	core	2	
leap	4	salt	salti	to jump, leap, spring, bounce, bound, vault	P6_tail	core	2	
plug	4	ŝtop	ŝtopilo	buffer, plug, electric plug, stopper	P6_tail	core	2	
stalk	4	kaŝsekv	kaŝsekvi	to pace, stalk, step, stride, tread	P6_tail	core	2	
twitch	4	spasm	spasmeti	twitch	P6_tail	tail	2	rare-anchor
vibrant	4	vigl	vigla	adroit, agile, alert, brisk, keen, lively, nimble, vigilant, watchful	P6_tail	core	2	
aloud	3	laŭt	laŭte	aloud, loudly	P6_tail	core	2	
attendant	3	akompan	akompananto	accompanist, companion	P6_tail	core	2	
bamboo	3	bambu	bambuo	bamboo	P6_tail	tail	2	rare-anchor
checkout	3	kas	kaso	cash box, money box, till, cashier	P6_tail	core	2	
chick	3	kokid	kokido	chick, chicken, fowl, hen	P6_tail	core	2	
cock	3	kok	virkoko	cock, rooster	P6_tail	core	2	
craft	3	metiaĵ	metiaĵo	craftwork	P6_tail	core	2	
insert	3	enmet	enmeti	to insert, put in, put away, stow, deposit, commit, check in	P6_tail	core	2	
lever	3	levil	levilo	crowbar, lever	P6_tail	core	2	
lobby	3	vestibl	vestiblo	entrance hall, lobby, porch, vestibule	P6_tail	tail	2	rare-anchor
prey	3	pred	predo	booty, loot, prey	P6_tail	tail	2	rare-anchor
saddle	3	sel	selo	saddle	P6_tail	core	2	
slam	3	bruferm	brufermi	to bang, slam	P6_tail	core	2	
swell	3	ŝvel	ŝveli	to bloat, swell, inflate, distend, puff	P6_tail	core	2	
tissue	3	naztuk	naztuko	handkerchief, tissue	P6_tail	core	2	
undo	3	malfar	malfari	to unmake, undo	P6_tail	core	2	
unison	3	unison	unisono	unison	P6_tail	core	2	
alien	2	eksterter	eksterterulo	alien, extraterrestrial	P6_tail	core	2	
baffle	2	konfuz	konfuzi	to bewilder, confuse, puzzle, disconcert, perplex, trouble, perturb, unsettle, disturb	P6_tail	core	2	
boar	2	apr	apro	wild boar	P6_tail	core	2	
boarding	2	enir	enirado	boarding	P6_tail	core	2	
breadcrumb	2	paner	panero	bread crumb	P6_tail	core	2	
errand	2	komisi	komisio	commission, appointment, authorization, charge, entrustment, errand, job, mandate, trust	P6_tail	core	2	
gross	2	naŭz	naŭza	abhorrent, abominable, alien, disgusting, nasty, nauseous	P6_tail	extended	2	
hover	2	ŝveb	ŝvebi	to circle, hang, hover, float	P6_tail	tail	2	rare-anchor
marking	2	mark	marko	brand, marker, tag, label	P6_tail	core	2	
prick	2	pik	piki	to bite, jab, pick, pierce, prick, puncture, stab, stick, sting	P6_tail	core	2	
retrieve	2	repren	repreni	to abjure	P6_tail	core	2	
rinse	2	tralav	tralavi	to wash	P6_tail	core	2	
savor	2	ĝu	ĝui	to delight in, enjoy, relish	P6_tail	tail	2	rare-anchor
smear	2	ŝmir	ŝmiri	to anoint, smear, spread, coat, grease, smear	P6_tail	core	2	
swap	2	interŝanĝ	interŝanĝi	to exchange, interchange, invert, swap, barter	P6_tail	core	2	
swollen	2	ŝvel	ŝvelinta	to distend, inflate, swell, swollen	P6_tail	core	2	
tense	2	streĉ	streĉita	flat, straight, strained	P6_tail	core	2	
whir	2	zum	zumado	buzz, hum	P6_tail	core	2	
whisk	2	kirl	kirli	to curl, froth, stir, whip, whirl	P6_tail	core	2	
ajar	1	duonmalferm	duonmalfermita	ajar, discordant	P6_tail	core	2	
bold	1	kuraĝ	kuraĝa	audacious, bold, brave, courageous, valiant, daring, fearless, intrepid	P6_tail	core	2	
choke	1	sufok	sufoki	to choke, quell, suffocate, suppress, smother, stifle strangle, throttle	P6_tail	tail	2	rare-anchor
collage	1	kolaĝ	kolaĝo	collage	P6_tail	tail	2	rare-anchor
corridor	1	koridor	koridoro	corridor, passage, hallway, hall, lane, passageway	P6_tail	tail	2	rare-anchor
detour	1	ĉirkaŭvoj	ĉirkaŭvojo	roundabout way	P6_tail	core	2	
disguise	1	alivest	alivestiĝo	disguise	P6_tail	core	2	
festive	1	fest	festa	festal	P6_tail	core	2	
filling	1	plenigaĵ	plenigaĵo	filling	P6_tail	core	2	
finder	1	trov	trovanto	finder, search command, search engine, search tool, search function	P6_tail	core	2	
fool	1	malsaĝ	malsaĝulo	blockhead, dolt, fool	P6_tail	core	2	
honorary	1	honor	honora	honorary	P6_tail	core	2	
howl	1	hurl	hurli	to howl	P6_tail	extended	2	
injection	1	injekt	injekto	injection	P6_tail	core	2	
joystick	1	stirstang	stirstango	joystick	P6_tail	core	2	
litter	1	rub	rubaĵo	junk	P6_tail	core	2	
machinery	1	maŝinar	maŝinaro	machinery	P6_tail	core	2	
navigate	1	navig	navigi	to navigate	P6_tail	core	2	
operator	1	operator	operatoro	operator	P6_tail	core	2	
performer	1	prezent	prezentanto	introducer, performer, presenter	P6_tail	core	2	
preference	1	prefer	prefero	preference	P6_tail	core	2	
reset	1	restarig	restarigi	to restore	P6_tail	core	2	
rider	1	rajd	rajdanto	cavalier	P6_tail	core	2	
robe	1	rob	robo	dress, gown, robe	P6_tail	core	2	
seize	1	kapt	ekkapti	to clutch, grab, grasp, grip, seize, apprehend, grapple, lay hold of, capture	P6_tail	core	2	
skate	1	sket	sketilo	skate	P6_tail	tail	2	rare-anchor
spine	1	spin	spino	backbone, spine, spinal column	P6_tail	extended	2	
spiral	1	spiral	spiralo	spiral	P6_tail	extended	2	
stuffy	1	sufok	sufoka	airless, oppressive, stifling, sultry, suffocating	P6_tail	tail	2	rare-anchor
suspend	1	pendig	pendigi	to hang, suspend	P6_tail	core	2	
tapestry	1	gobelin	gobelino	tapestry, wall covering, wallpaper	P6_tail	core	2	
thimble	1	fingring	fingringo	thimble	P6_tail	core	2	
tin	1	lad	lado	sheet metal, tin (plate), firmware	P6_tail	core	2	
weaken	1	malfort	malfortigi	to weaken	P6_tail	core	2	
weave	1	teks	teksi	to weave	P6_tail	core	2	
whimper	1	plor	ploreti	to snivel, whimper, whine	P6_tail	core	2	
whirr	1	zum	zumado	buzz, hum	P6_tail	core	2	
wrapper	1	envolv	envolvaĵo	envelope	P6_tail	core	2	
angrily	4	koler	kolere	angrily	P6_tail	core	2	
astonish	4	mirig	mirigi	to astonish, amaze, surprise	P6_tail	core	2	
bakery	4	bakej	bakejo	bakery	P6_tail	core	2	
belonging	4	apartenad	apartenado	belonging	P6_tail	extended	2	
bleed	4	sang	sangi	to bleed	P6_tail	core	2	
bog	4	marĉeg	marĉego	bog	P6_tail	core	2	
bookmark	4	legosign	legosigno	bookmark, favorite (Internet Explorer)	P6_tail	core	2	
bubbly	4	eferversk	eferverska	bubbly	P6_tail	tail	2	rare-anchor
bud	4	ĝerm	ĝermi	to germinate, shoot, bud	P6_tail	core	2	
bushy	4	arbed	arbeda	bushy	P6_tail	tail	2	rare-anchor
caution	4	avert	averti	to alert, caution, (fore)warn	P6_tail	core	2	
chatter	4	klak	klaki	to chatter, clap, click, rattle, flap, slap, smack	P6_tail	core	2	
cheetah	4	gepard	gepardo	cheetah	P6_tail	tail	2	rare-anchor
chilly	4	frisk	friska	chilly	P6_tail	tail	2	rare-anchor
clover	4	trifoli	trifolio	clover, shamrock, trefoil	P6_tail	core	2	
clutch	4	kapt	kapti	to capture, catch, grapple, trap, ensnare, clutch, grasp, grab	P6_tail	core	2	
compass	4	busol	busolo	compass	P6_tail	tail	2	rare-anchor
compliment	4	kompliment	komplimenti	to compliment	P6_tail	core	2	
confusion	4	konfuz	konfuzo	commotion, confusion, muddle	P6_tail	core	2	
cord	4	kabl	kablo	cable, cord	P6_tail	core	2	
cowboy	4	gaŭĉ	gaŭĉo	cowboy, gaucho	P6_tail	tail	2	rare-anchor
disappointment	4	ĉagren	ĉagreno	annoyance, disappointment, grief, chagrin, worry	P6_tail	core	2	
embarrassment	4	embaras	embaraso	abashment, embarrassment, perplexity, difficult situation, quandary, complication, difficulty	P6_tail	core	2	
energetic	4	energi	energia	energetic, strenuous	P6_tail	extended	2	
flop	4	malsukceseg	malsukcesego	failure, flop	P6_tail	core	2	
foal	4	ĉevalid	ĉevalido	colt, foal, filly	P6_tail	core	2	
fondly	4	am	ame	fondly, lovingly	P6_tail	tail	2	rare-anchor
foreshadow	4	aŭgur	aŭguri	to augur, forecast, foretell, prophesy, foreshadow, predict	P6_tail	core	2	
gesture	4	gest	gesti	to gesticulate, gesture	P6_tail	core	2	
grumble	4	grumbl	grumbli	to growl, grumble	P6_tail	core	2	
guardian	4	gardant	gardanto	custodian, guard, guardian, watch, warder, keeper	P6_tail	core	2	
handkerchief	4	poŝtuk	poŝtuko	handkerchief, tissue	P6_tail	tail	2	rare-anchor
hedgehog	4	erinac	erinaco	hedgehog	P6_tail	tail	2	rare-anchor
hind	4	post	posta	hind, hindmost, posterior, ulterior	P6_tail	—	2	rare-anchor
hip	4	koks	kokso	haunch, hip	P6_tail	tail	2	rare-anchor
icicle	4	pendglaci	pendglacio	icicle	P6_tail	core	2	
juggle	4	ĵongl	ĵongli	to conjure, juggle	P6_tail	core	2	
kit	4	komplet	kompleto	outfit, set, suit, kit	P6_tail	core	2	
maid	4	servistin	servistino	maid, servant	P6_tail	core	2	
miracle	4	mirakl	miraklo	miracle	P6_tail	tail	2	rare-anchor
mischievous	4	blag	blaga	humorous, playful, mischievous	P6_tail	tail	2	rare-anchor
overcome	4	venk	venki	to conquer, defeat, win over, overcome, vanquish, subdue	P6_tail	core	2	
overhead	4	aer	aera	aerial, overhead, airborne	P6_tail	core	2	
peak	4	pint	pinto	peak, point, tip, summit, ridge, vertex	P6_tail	core	2	
peep	4	pep	pepi	to chirp, peep, twitter, warble, beep	P6_tail	core	2	
playroom	4	ludĉambr	ludĉambro	playroom	P6_tail	core	2	
pod	4	guŝ	guŝo	husk, pod	P6_tail	tail	2	rare-anchor
polar	4	polar	polara	polar	P6_tail	core	2	
raincoat	4	pluvmantel	pluvmantelo	raincoat	P6_tail	core	2	
rejoice	4	ĝoj	ĝoji	to be glad, enjoy, rejoice	P6_tail	core	2	
roam	4	vag	vagi	to drift, loiter, prowl, ramble, roam, wander, meander, stray	P6_tail	core	2	
robber	4	rabist	rabisto	brigand, highwayman, robber	P6_tail	core	2	
rooster	4	kok	koko	chicken, fowl, cock, rooster	P6_tail	core	1	
ruffle	4	krisp	krispo	frill, ruffle, frilled collar	P6_tail	core	2	
scramble	4	miks	miksi	to blend, mingle, mix, shuffle, scramble	P6_tail	core	2	
scribble	4	skribaĉ	skribaĉi	to scribble, scrawl	P6_tail	core	2	
smash	4	disbat	disbati	to dash to pieces, knock down, smash	P6_tail	core	2	
sob	4	ploreg	ploregi	to bewail, sob, mourn, wail	P6_tail	core	2	
soften	4	mildig	mildigi	to soften, alleviate	P6_tail	core	2	
sprout	4	ŝos	ŝosi	to sprout	P6_tail	tail	2	rare-anchor
squawk	4	kvak	kvako	croak, honk, squawk	P6_tail	core	2	
stern	4	pob	pobo	poop(deck), stern	P6_tail	tail	2	rare-anchor
stormy	4	ŝtorm	ŝtorma	stormy	P6_tail	tail	2	rare-anchor
strum	4	fuŝlud	fuŝludi	to strum	P6_tail	core	2	
swimsuit	4	bankalson	bankalsono	bathing suit, swimming trunks, swimsuit	P6_tail	core	2	
tablecloth	4	tablotuk	tablotuko	tablecloth	P6_tail	core	2	
tempt	4	tent	tenti	to entice, induce, tempt	P6_tail	core	2	
timer	4	horloĝ	horloĝo	clock, watch, timepiece	P6_tail	core	2	
toss	4	sku	skui	to agitate, shake, shock, toss	P6_tail	core	2	
trot	4	trot	troti	to trot	P6_tail	core	2	
underwater	4	subakv	subakva	underwater	P6_tail	core	2	
unkind	4	malafabl	malafabla	blunt, brutal, gruff, harsh, rough, sour, surly, unkind, unpleasant, rude	P6_tail	core	2	
unload	4	deŝarĝ	deŝarĝi	to unload, discharge	P6_tail	tail	2	rare-anchor
unripe	4	nematur	nematura	immature, unripe, not ripe	P6_tail	tail	2	rare-anchor
vanilla	4	vanil	vanilo	vanilla	P6_tail	core	2	
vessel	4	uj	ujo	bin, container, box, vessel	P6_tail	tail	2	rare-anchor
wad	4	bul	bulo	ball, chunk, clod, hunk, lump, wad, bullet	P6_tail	core	2	
wax	4	cir	ciro	polish, wax	P6_tail	core	2	
whiz	4	sibl	siblo	whiz	P6_tail	core	2	
wrist	4	pojn	pojno	wrist	P6_tail	tail	2	rare-anchor
abc	3	aboc	aboco	ABC, alphabet, basics, fundamentals, primer, rudiments	P6_tail	tail	2	rare-anchor
abracadabra	3	abrakadabr	abrakadabro	abracadabra	P6_tail	tail	2	rare-anchor
ache	3	dolor	dolori	to ache, be painful, hurt	P6_tail	core	2	
alongside	3	ŝipflank	ŝipflanke	alongside (a ship)	P6_tail	core	2	
aroma	3	arom	aromo	aroma, flavor, fragrance, smell	P6_tail	core	2	
balanced	3	bilancit	bilancita	balanced	P6_tail	core	2	
bellow	3	muĝ	muĝi	to bellow, howl, roar, low, moo, roar	P6_tail	extended	2	
blade	3	kulm	kulmo	blade, stalk	P6_tail	tail	2	rare-anchor
blast	3	bloveg	blovego	blast	P6_tail	core	2	
bookshelf	3	librobret	librobreto	bookshelf	P6_tail	extended	2	
boost	3	suprenig	suprenigi	to boost	P6_tail	extended	2	
booth	3	bud	budo	barn, shed, stand, stall, hut, booth, cabana, kiosk	P6_tail	core	2	
bridle	3	brid	bridi	to bridle, check, restrain	P6_tail	core	2	
brilliantly	3	bril	brile	brightly, brilliantly	P6_tail	core	2	
burger	3	burger	burgero	burger	P6_tail	core	2	
buzzer	3	zumil	zumilo	buzzer	P6_tail	core	2	
calf	3	sur	suro	calf	P6_tail	—	2	rare-anchor
catcher	3	kaptant	kaptanto	catcher	P6_tail	core	2	
cherish	3	am	ami	to love, cherish	P6_tail	tail	2	rare-anchor
