set	member	in_lexicon	proposed_eo_anchor	eo_gloss
weather	windy	N	vent/venta	windy
weather	hot	Y		
weather	cold	Y		
weather	warm	Y		
weather	wet	Y		
weather	dry	Y		
weather	thunder	N	tondr/tondri	to thunder
weather	lightning	N	fulm/fulma	lightning
weather	rainbow	N	pluvark/pluvarko	rainbow
animals	dog	Y		
animals	cat	Y		
animals	cow	Y		
animals	horse	Y		
animals	pig	Y		
animals	sheep	Y		
animals	goat	N	kapr/kapro	goat
animals	chicken	Y		
animals	duck	N	anas/anasa	duck, duck-, duck’s, of a duck
animals	goose	N	anser/ansero	goose
animals	rabbit	N	lepor/leporo	hare, rabbit
animals	mouse	Y		
animals	rat	N	rat/rato	rat
animals	bird	Y		
animals	fish	Y		
animals	frog	Y		
animals	bee	Y		
animals	ant	N	formik/formiko	ant
animals	spider	Y		
animals	fox	N	vulp/vulpa	fox, vulpine
animals	wolf	N	lup/lupo	wolf
animals	bear	Y		
animals	lion	Y		
animals	tiger	N	tigr/tigro	tiger
animals	elephant	Y		
animals	monkey	Y		
animals	giraffe	N	ĝiraf/ĝirafo	giraffe
animals	zebra	N	zebr/zebro	zebra
animals	deer	N	cerv/cerva	deer, deer-, of a deer
animals	squirrel	N	sciur/sciuro	squirrel
animals	owl	N	guf/gufo	(eagle) owl
animals	snake	Y		
animals	turtle	N	keloni/kelonio	turtle
animals	whale	N	balen/baleno	whale
animals	dolphin	N	delfen/delfeno	dolphin
animals	shark	N	ŝark/ŝarko	shark
animals	butterfly	N	papili/papilio	butterfly
motion_verbs	go	Y		
motion_verbs	come	Y		
motion_verbs	run	Y		
motion_verbs	walk	Y		
motion_verbs	jump	Y		
motion_verbs	hop	N	hop/hopi	to hop
motion_verbs	skip	N	dancet/danceti	to hop, skip
motion_verbs	climb	Y		
motion_verbs	crawl	N	ramp/rampi	to crawl, creep, sneak
motion_verbs	fly	Y		
motion_verbs	swim	Y		
motion_verbs	fall	Y		
motion_verbs	sit	Y		
motion_verbs	stand	Y		
motion_verbs	turn	Y		
motion_verbs	roll	Y		
motion_verbs	slide	Y		
motion_verbs	spin	N	ŝpin/ŝpini	to spin (thread)
motion_verbs	dance	Y		
motion_verbs	march	Y		
motion_verbs	throw	Y		
motion_verbs	catch	Y		
motion_verbs	push	Y		
motion_verbs	pull	Y		
motion_verbs	carry	Y		
motion_verbs	kick	Y		
motion_verbs	ride	Y		
emotions	happy	Y		
emotions	sad	Y		
emotions	angry	Y		
emotions	mad	Y		
emotions	scared	Y		
emotions	afraid	Y		
emotions	glad	Y		
emotions	excited	Y		
emotions	surprised	Y		
emotions	worried	Y		
emotions	proud	Y		
emotions	jealous	N	ĵaluz/ĵaluza	jealous
emotions	shy	Y		
emotions	lonely	Y		
emotions	calm	Y		
emotions	upset	Y		
emotions	cheerful	Y		
emotions	curious	N	sciam/sciama	curious, inquisitive
emotions	bored	Y		
emotions	nervous	Y		
emotions	brave	Y		
