en_lemma	total_freq	action	eo_root	eo_word	eo_gloss	component_roots	proposed_tier	cefr	alt_candidates	flag	notes
lovely	92	LINK	bel	bela	beautiful, fine, handsome, lovely, good-looking, pretty		1	A1	agrabla, belega, ĉarma, linda, rava	ok	
roar	92	NEW	muĝ	muĝi	to bellow, howl, roar, low, moo, roar		1	A1	blekegi, kriegi, muĝo, zumi, zumo	ok	reclaimed from proper_noun — confirm not a name
bark	91	NEW	boj	boji	to bay, bark		1	A1	arboŝelo, barko, bojadi, bojegi, bojo	ok	reclaimed from proper_noun — confirm not a name
furry	90	LINK	fel	fela	furry		1	A1		ok	reclaimed from proper_noun — confirm not a name
cute	89	NEW	belet	beleta	attractive, bonny, pretty, comely, cute		1	A1		ok	
puddle	89	NEW	flak	flako	puddle, pool		1	A1	pudli	ok	
meadow	87	NEW	herbej	herbejo	lawn, meadow, prairie, pasture		1	A1	paŝtaĵo, paŝtejo, paŝtiĝejo	ok	
peanut	87	NEW	arakid	arakido	peanut, groundnut		1	A1		ok	reclaimed from proper_noun — confirm not a name
zoom	87	NEW	zom	zoma	zoom		1	A1	aligrandigi, zomi, zomilo, zomo	ok	reclaimed from proper_noun — confirm not a name
jar	84	NEW	bokal	bokalo	jar		1	A1	argilujo, botelego	ok	
jungle	84	NEW	ĝangal	ĝangalo	jungle, rain forest		1	A1		ok	reclaimed from proper_noun — confirm not a name
sandy	83	NEW	malkompakt	malkompakta	loose, sandy		1	A1	disiĝema	ok	reclaimed from proper_noun — confirm not a name
peek	82	NEW	okulad	okuladi	to peep, peek		1	A1		ok	
picnic	82	NEW	piknik	pikniki	to picnic		1	A1	kampfesteno, pikniko	ok	
playground	81	NEW	ludej	ludejo	playground		1	A1	infanludejo	ok	
puzzle	81	NEW	puzl	puzlo	puzzle		1	A1	enigmo, konfuzegi, konfuzi, konsterni, maldistingi	ok	reclaimed from proper_noun — confirm not a name
mrs	79	NEW	sinjorin	sinjorino	lady, madam, Mrs.		1	A1		ok	reclaimed from proper_noun — confirm not a name
angel	77	NEW	anĝel	anĝelo	angel		1	A1		ok	
ant	76	NEW	formik	formiko	ant		1	A1		ok	reclaimed from proper_noun — confirm not a name
gently	75	LINK	mol	mole	gently, softly, tenderly		1	A1	dolĉe, ĝentile, singarde	ok	
sparkly	75						1	A1		no_match	
stir	75	LINK	mov	movi	to move, shift, stir, advance		1	A1	eksciti, emocii, kirli, turnomovi, vigleco	ok	
wander	75	NEW	vag	vagi	to drift, loiter, prowl, ramble, roam, wander, meander, stray		1	A1	deliri, erari, flankeniĝi, migri, nomadi	ok	
nest	74	NEW	ing	ingi	to nest		1	A1	eningigi, kovejo, nestego, nesti, nestiĝi	ok	
tightly	74	LINK	prem	preme	oppressively, tightly		1	A1	streĉe, strikte	ok	
berry	73	NEW	ber	bero	berry		1	A1		ok	
tiger	73	NEW	tigr	tigro	tiger		1	A1		ok	
goat	72	NEW	kapr	kapro	goat		1	A1		ok	reclaimed from proper_noun — confirm not a name
mr	72	LINK	sinjor	sinjoro	gentleman, lord, Mr., Sir		1	A1		ok	reclaimed from proper_noun — confirm not a name
sigh	72	NEW	ekĝem	ekĝemi	to sigh		1	A1	suspiri, suspiro, vespiri	ok	
couch	71	LINK	lit	lito	bed, couch		1	A1	divano, kanapo, kuŝejo, kuŝoseĝo	ok	
dependable	71	NEW	fidebl	fidebla	dependable, reliable, responsible, trusty		1	A1	fidinda	ok	reclaimed from proper_noun — confirm not a name
smelly	71	NEW	stink	stinka	malodorous, smelly, stinking, stinky		1	A1	aĉodora	ok	
wipe	71	NEW	viŝ	viŝi	to delete, wipe, erase, remove		1	A1		ok	
jealous	70	NEW	ĵaluz	ĵaluza	jealous		1	A1		ok	
papa	70	LINK	paĉj	paĉjo	dad, daddy, pa, papa		1	A1	patreto	ok	reclaimed from proper_noun — confirm not a name
grace	69	NEW	grac	graco	grace (of God), gracefulness, mercy		1	A1	difavoro, favoraĵo, favorkoreco, graceco, gracieco	ok	reclaimed from proper_noun — confirm not a name
realise	69						1	A1		no_match	
pizza	68	NEW	pic	pico	pizza		1	A1		ok	reclaimed from proper_noun — confirm not a name
shore	68	LINK	bord	bordo	bank, border, edge, coast, shore		1	A1	laŭlime, marborda, marbordo, strando, terbordo	ok	
caterpillar	67	NEW	raŭp	raŭpo	caterpillar		1	A1		ok	reclaimed from proper_noun — confirm not a name
selfish	67	NEW	egoism	egoisma	self-interested, selfish, egoistical		1	A1	egoista, malsindona	ok	
wagon	67	NEW	vagon	vagono	car, carriage, coach, railway carriage, wagon		1	A1	ĉarego, ŝarĝvagono, ŝarĝveturilo	ok	
ladder	66	NEW	eskal	eskalo	ladder		1	A1	dismaŝiĝi, dismaŝiĝo, ŝtupetaro	ok	
paw	66	LINK	krur	kruro	leg, paw, limb		1	A1	piedego, piedo	ok	
rocket	66	NEW	eruk	eruko	rocket		1	A1	fuzaĵo, raketo	ok	
sleepy	66	NEW	dormem	dormema	drowsy, sleepy		1	A1	dorminklina	ok	
sour	66	NEW	acid	acida	acerbic, acid, sour, tart, acidic		1	A1	acerba, acideta, acidigi, acidiĝi, malafabla	ok	reclaimed from proper_noun — confirm not a name
thankful	66	LINK	dank	danka	thankful, grateful		1	A1	dankema	ok	
mitten	65	NEW	muf	mufo	gas mantle, mitten, muff		1	A1	ganto, pugnoganto	ok	reclaimed from proper_noun — confirm not a name
glow	64	NEW	ard	ardi	to be ardent, burn, glow, glow with heat		1	A1	ardeco, ardo, brili	ok	
tag	64	LINK	mark	marki	to mark, tag, highlight		1	A1	etikedi, etikedo, etiketo, marko, ŝildeto	ok	
bench	63	NEW	benk	benko	bench, form		1	A1	juĝistaro, stablo	ok	
bull	63	NEW	bull	bullo	bull		1	A1	bovoviro, taŭro, virbova, virbovo	ok	reclaimed from proper_noun — confirm not a name
zip	63	NEW	zip	zipi	to zip		1	A1	densigi, fulmofermilo, kompaktigi, zipfermilo, zipligilo	ok	reclaimed from proper_noun — confirm not a name
clumsy	62	NEW	fuŝ	fuŝa	clumsy, half-assed, ham-fisted, inept, messy		1	A1	malgracia, mallerta, malspirita	ok	reclaimed from proper_noun — confirm not a name
gem	62	NEW	gem	gemo	gem, jewel		1	A1	brilianto, ĝemo, valorŝtono	ok	reclaimed from proper_noun — confirm not a name
clay	61	NEW	argil	argila	earthen, clay, stone		1	A1	argilo	ok	
frustrate	61	NEW	vanig	vanigi	to foil, thwart, frustrate		1	A1	frustri, malhelpi	ok	
honey	61	NEW	miel	mielo	honey		1	A1		ok	reclaimed from proper_noun — confirm not a name
tidy	61	LINK	ord	orda	ordered, tidy, organized, systematic		1	A1	malnegliĝa, ordema, ordi, ordigi, ponorda	ok	reclaimed from proper_noun — confirm not a name
wag	61	NEW	sving	svingo	wag, waggle, wave		1	A1	spritulo, svingiĝo, vostumi, vostumo	ok	
cactus	60	NEW	kakt	kakto	cactus		1	A1		ok	reclaimed from proper_noun — confirm not a name
chew	60	NEW	maĉ	maĉi	to chew, masticate, munch		1	A1		ok	
brightly	59	LINK	hel	hele	brightly, clearly		1	A1	brile	ok	
arrow	58	NEW	sag	sago	arrow, dart		1	A1		ok	
candle	58	NEW	kandel	kandelo	candle		1	A1		ok	
comet	58	NEW	komet	kometo	comet		1	A1		ok	reclaimed from proper_noun — confirm not a name
eager	58	NEW	avid	avida	avid, eager, greedy		1	A1	kaptema	ok	reclaimed from proper_noun — confirm not a name
messy	58	NEW	fuŝ	fuŝa	clumsy, half-assed, ham-fisted, inept, messy		1	A1	malbonorda	ok	
ruin	58	NEW	pere	pereo	destruction, doom, downfall, fall, perdition, ruin, wreck		1	A1	malprosperigi, pereigi, ruinaĵo, ruinigi, ruino	ok	
twirl	58						1	A1		no_match	
frown	57	NEW	sulkig	sulkigi	to furrow, wrinkle, frown		1	A1		ok	
turkey	57	NEW	meleagr	meleagro	turkey		1	A1	meleagraĵo	ok	
bald	56	NEW	kalv	kalva	bald(-headed), hairless		1	A1	senhara	ok	
icy	56	LINK	glaci	glacia	icy		1	A1	glacieca	ok	reclaimed from proper_noun — confirm not a name
lick	56	NEW	lek	leki	to lick, lap		1	A1		ok	
raven	56	NEW	korv	korvo	crow, raven		1	A1	korako	ok	reclaimed from proper_noun — confirm not a name
stumble	56	NEW	falet	faleti	to slip, stumble, trip		1	A1	duonfali, faleto, falŝanceliĝi, stumbli	ok	
accidentally	55	LINK	akcident	akcidente	accidentally		1	A1		ok	
adventurous	55	LINK	risk	riska	adventurous, hazardous, risky, venturous		1	A1	aventura, aventurema, aventuroplena, aventurriĉa	ok	
crown	55	NEW	kron	kroni	to crown		1	A1	florkrono, krono, verto	ok	
dolphin	55	NEW	delfen	delfeno	dolphin		1	A1	alligfosto	ok	
lizard	55	NEW	lacert	lacerto	lizard		1	A1		ok	
maze	55	NEW	labirint	labirinto	labyrinth, labyrinth, maze		1	A1		ok	
obedient	55	LINK	obe	obea	docile, obedient		1	A1	obeema	ok	
sneeze	55	NEW	tern	terni	to sneeze		1	A1	terno	ok	
octopus	54	NEW	polp	polpo	octopus		1	A1	oktopuso	ok	
barber	53	NEW	barbir	barbiro	barber		1	A1	barbisto, frizisto, hartondisto, kombisto, razisto	ok	
bloom	53	LINK	flor	flori	to bloom, blossom, flower		1	A1	floro	ok	reclaimed from proper_noun — confirm not a name
dinosaur	53	NEW	dinosaŭr	dinosaŭro	dinosaur		1	A1		ok	
dizzy	53	NEW	kapturn	kapturna	dizzy		1	A1		ok	
log	53	NEW	log	logo	allurement, bait, enticement; log		1	A1	lignopeco, protokola, protokoli, protokolo, ŝtipo	ok	
pirate	53	NEW	pirat	pirato	pirate, sea robber, hacker		1	A1	kaperanto, kaperisto, marrabisto	ok	
chirp	52	NEW	pep	pepi	to chirp, peep, twitter, warble, beep		1	A1	ĉirpi, kviviti, pepo	ok	reclaimed from proper_noun — confirm not a name
fridge	52						1	A1		no_match	
grumpy	52						1	A1		no_match	
hive	52	NEW	abeluj	abelujo	beehive, hive		1	A1		ok	
soar	52	NEW	sor	sori	to soar		1	A1	altegiĝi, ŝverbi	ok	
violin	52	NEW	violon	violono	fiddle, violin		1	A1		ok	
buzz	51	NEW	zum	zumi	to buzz, hum, roar (traffic)		1	A1	zumado, zumo	ok	reclaimed from proper_noun — confirm not a name
cherry	51	NEW	ĉeriz	ĉerizo	cherry		1	A1		ok	
pillow	51	NEW	kusen	kuseno	cushion, pillow		1	A1	kapkuseno, kusenlito, litkuseno	ok	
smith	51	NEW	forĝist	forĝisto	blacksmith, smith		1	A1		ok	reclaimed from proper_noun — confirm not a name
delicate	50	NEW	tikl	tikla	ticklish, delicate		1	A1	delikata	ok	
mighty	50	LINK	potenc	potenca	dominant, mighty, potent, powerful		1	A1		ok	reclaimed from proper_noun — confirm not a name
exclaim	49	NEW	ekkri	ekkrii	to call out, cry out, exclaim, shout out		1	A1		ok	
olive	49	NEW	oliv	olivo	olive		1	A1	olivkolora	ok	reclaimed from proper_noun — confirm not a name
squeeze	49	LINK	prem	premi	to press, oppress, squeeze, grasp, push, hold down, depress, hit (a key)		1	A1	fermpinĉi, kunpremado, kunpremegi, stringi	ok	
cushion	48	NEW	kusen	kuseno	cushion, pillow		1	A1		ok	
eraser	48	NEW	gum	gumo	eraser, gum		1	A1	skrapgumo, skrapileto	ok	
fin	48	NEW	naĝil	naĝilo	fin		1	A1		ok	reclaimed from proper_noun — confirm not a name
henry	48	NEW	henr	henro	henry		1	A1	henrio	ok	reclaimed from proper_noun — confirm not a name
higher	48	LINK	supr	supra	superior, upper, higher		1	A1		ok	
kayak	48	NEW	kajak	kajaki	to kayak		1	A1	kajako	ok	reclaimed from proper_noun — confirm not a name
leash	48	NEW	ligil	ligilo	band, strap, bond, tie, leash, tether, linker, link (WWW)		1	A1		ok	
poppy	48	NEW	papav	papavo	poppy		1	A1	papaveto	ok	reclaimed from proper_noun — confirm not a name
ignorant	47	NEW	malkler	malklera	dull, stupid, ignorant, illiterate, uncultured, uneducated, simple		1	A1		ok	reclaimed from proper_noun — confirm not a name
jet	47	NEW	duz	duzo	nozzle, jet		1	A1	ajuto, gagato, jeti, jeto, reakciaviadilo	ok	reclaimed from proper_noun — confirm not a name
jewel	47	NEW	gem	gemo	gem, jewel		1	A1	brilianto, juvelo	ok	reclaimed from proper_noun — confirm not a name
juicy	47	LINK	suk	suka	juicy		1	A1		ok	
otter	47	NEW	lutr	lutro	otter		1	A1		ok	
persistent	47	LINK	daŭr	daŭra	abiding, lasting, enduring, continuous, permanent, constant, persistent		1	A1	persista	ok	
spoil	47	NEW	fuŝ	fuŝi	to botch, bungle, screw up, spoil, make a mess of, muddle		1	A1	akiro, difekti, malbonigi, malboniĝi, trodorloti	ok	
surrender	47	NEW	rezign	rezigni	to abandon, give up, resign, renounce, yield, renounce, surrender, cancel		1	A1	kapitulaci, rezigno	ok	reclaimed from proper_noun — confirm not a name
blueberry	46	NEW	vakcini	vakcinio	bilberry, blueberry, cranberry, huckleberry		1	A1	blubero, mirtelbero, mirtelo	ok	
cage	46	NEW	kaĝ	kaĝo	cage		1	A1	enkaĝigi	ok	
clown	46	NEW	klaŭn	klaŭno	clown		1	A1	arlekenadi, arlekeno, pajaco, ŝercemulo	ok	reclaimed from proper_noun — confirm not a name
crab	46	NEW	krab	krabo	crab		1	A1	braĥiuro, kankro	ok	
dull	46	NEW	nebul	nebula	blurry, dull, somber, fuzzy, misty, nebulous		1	A1	brutigi, malakra, malbrila, malhela, malklera	ok	
flute	46	NEW	flut	fluto	flute		1	A1		ok	reclaimed from proper_noun — confirm not a name
gasp	46	NEW	aĥ	aĥi	to gasp, whimper		1	A1	senspiriĝi, spiregi	ok	
glue	46	LINK	glu	glui	to glue, stick, paste		1	A1	gluaĵo, gluo	ok	
pit	46	NEW	put	puto	well, pit		1	A1	bataligi, fosaĵo, fosejo, kerneto, kerno	ok	reclaimed from proper_noun — confirm not a name
pole	46	NEW	fost	fosto	pole, post, stanchion, stake, upright, upright beam, upright support, vertical support, pier		1	A1	grimpmasto, poluso, skibastono, stango, timono	ok	reclaimed from proper_noun — confirm not a name
shopkeeper	46	NEW	butikist	butikisto	merchant, retailer, shopkeeper, tradesman		1	A1		ok	
spray	46	NEW	spraj	spraji	to spray		1	A1	aspergi, elŝprucigi, florbranĉeto, surverŝi, ŝpruceti	ok	
witch	46	NEW	sorĉistin	sorĉistino	witch		1	A1		ok	
foolish	45	LINK	stult	stulta	foolish, silly, stupid, dumb		1	A1	malsaĝa, naivega	ok	
hippo	45	NEW	hipopotam	hipopotamo	hippo, hippopotamus		1	A1		ok	reclaimed from proper_noun — confirm not a name
leak	45	NEW	lik	liki	to leak		1	A1	guteti, liko	ok	
loyal	45	NEW	fidel	fidela	accurate, exact, faithful, loyal, staunch, trusty, trustworthy		1	A1	konfidebla, lojala	ok	
marble	45	NEW	vejn	vejni	to grain, vein, marble, mark with veins		1	A1	globeto, marmora, marmoro	ok	
safely	45	LINK	sekur	sekure	safely		1	A1	sendanĝere	ok	
whale	45	NEW	balen	baleno	whale		1	A1		ok	
deer	44	NEW	cerv	cerva	deer, deer-, of a deer		1	A1	cervo	ok	
fountain	44	LINK	font	fonto	fountain, fount, source, spring, seeder (torrent)		1	A1	fontano	ok	
kindness	44	NEW	bonec	boneco	excellence, goodness, kindness		1	A1	afableco, bonkoreco, favoraĵo, komplezemo, komplezo	ok	
nosy	44	NEW	nazŝovem	nazŝovema	nosy	naz+ŝov	1	A1		compound	
parade	44	NEW	defil	defili	to march in file, march past, parade		1	A1	defilado, kolektiĝo, kunvoko, paradi, paradmarŝo	ok	
pear	44	NEW	pir	piro	pear		1	A1		ok	
purse	44	NEW	monuj	monujo	purse, wallet		1	A1	retikulo	ok	
tummy	44	NEW	ventr	ventro	abdomen, stomach, belly, tummy		1	A1		ok	
turtle	44	NEW	keloni	kelonio	turtle		1	A1	testudo	ok	reclaimed from proper_noun — confirm not a name
charming	43	NEW	lind	linda	charming, lovely, pretty		1	A1	ĉarma	ok	
weird	43	NEW	bizar	bizara	bizarre, odd, weird, eccentric, strange, odd		1	A1	frenezeta	ok	
cabin	42	NEW	kaban	kabano	cabin, hut, shack		1	A1	ĉambreto	ok	
dove	42	NEW	kolomb	kolombo	dove, pigeon		1	A1	kolombino	ok	
trunk	42	NEW	kest	kesto	box, chest, coffer, case, trunk, crate		1	A1	arbotrunko, arbtrunko, kofro, kofrujo, rostro	ok	
vase	42	NEW	vaz	vazo	vase, vessel, container		1	A1	argilvazo, florujo	ok	
wand	42	NEW	verg	vergo	cane, rod, switch, wand, stick, staff		1	A1	sorĉbastono, vergego	ok	
zoo	42	NEW	zo	zoo	zoo		1	A1	bestoĝardeno, menaĝerio	ok	
chubby	41	NEW	ventregul	ventregulo	chubby, fatso	vent+regul	1	A1	dikventrulo	compound	reclaimed from proper_noun — confirm not a name
cone	41	NEW	konus	konuso	cone		1	A1	avertkonuso, strobilo, vafleto	ok	reclaimed from proper_noun — confirm not a name
crack	41	NEW	fend	fendi	to cleave, crack, split		1	A1	fendaĵo, fendo, frakcii, frakciigi, kodrompilo	ok	reclaimed from proper_noun — confirm not a name
patch	41	NEW	flik	fliki	to darn, mend, patch (up)		1	A1	flikaĵo, fliko, placeto	ok	
raft	41	LINK	flos	floso	raft		1	A1		ok	
sweetheart	41	LINK	amat	amato	beloved, loved one, lover, sweetheart, well-beloved		1	A1	amanto, amatino, dolĉulino, dolĉulo, fianĉo	ok	reclaimed from proper_noun — confirm not a name
tremble	41	LINK	trem	tremi	to quiver, shiver, tremble, shake, tremble		1	A1		ok	
tutor	41	NEW	guvern	guverni	to coach, tutor, teach privately		1	A1	guvernisto	ok	
wolf	41	NEW	lup	lupo	wolf		1	A1		ok	
alert	40	NEW	pep	pepo	alert, beep, bell, chirp		1	A1	alarmo, averti, averto, vigla	ok	
frank	40	NEW	afrank	afranki	to prepay, put on stamps, frank		1	A1	sincera	ok	reclaimed from proper_noun — confirm not a name
knob	40	NEW	ans	anso	handle, knob, latch		1	A1	butono, tenilo, tubero	ok	
laundry	40	NEW	lavej	lavejo	laundry, lavatory, washroom		1	A1	lesivejo	ok	
lightning	40	LINK	fulm	fulma	lightning		1	A1	fulmo	ok	
mushroom	40	NEW	fung	fungo	fungus, mushroom, toadstool		1	A1	ĉampinjono, ŝampinjono	ok	reclaimed from proper_noun — confirm not a name
necklace	40	NEW	kolier	koliero	necklace		1	A1	ĉirkaŭkolo, kolĉeno	ok	
oyster	40	NEW	ostr	ostro	oyster		1	A1		ok	
proudly	40	LINK	fier	fiere	proudly		1	A1		ok	
sweetie	40	NEW	dolĉul	dolĉulo	sweetie, sweetheart		1	A1		ok	reclaimed from proper_noun — confirm not a name
twig	40	NEW	branĉet	branĉeto	shoot (tree), twig, sprig		1	A1		ok	
volcano	40	NEW	vulkan	vulkano	volcano		1	A1		ok	reclaimed from proper_noun — confirm not a name
barn	39	NEW	bud	budo	barn, shed, stand, stall, hut, booth, cabana, kiosk		1	A1	barako, brutejo, fojnejo, garbejo	ok	
beam	39	LINK	radi	radio	beam, radio, radius, ray, wireless, spoke (of wheel)		1	A1	teleporti, timono, trabo, vekto	ok	
blink	39	NEW	puls	pulsi	to blink, pulsate, throb		1	A1	lumpulsi, palpebrumi	ok	
cube	39	NEW	kub	kubo	cube		1	A1		ok	
mole	39	NEW	mole	moleo	breakwater, mole		1	A1	talpo	ok	
poke	39	NEW	puŝet	puŝeti	to poke		1	A1		ok	
shark	39	NEW	ŝark	ŝarko	shark		1	A1		ok	
