lemma	total_freq	origin	has_anchor
mrs	79	reclaimed	yes
angel	77	common_gap	yes
ant	76	reclaimed	yes
gently	75	common_gap	yes
sparkly	75	common_gap	no
stir	75	common_gap	yes
wander	75	common_gap	yes
nest	74	common_gap	yes
tightly	74	common_gap	yes
berry	73	common_gap	yes
tiger	73	common_gap	yes
goat	72	reclaimed	yes
mr	72	reclaimed	yes
sigh	72	common_gap	yes
couch	71	common_gap	yes
dependable	71	reclaimed	yes
smelly	71	common_gap	yes
wipe	71	common_gap	yes
jealous	70	common_gap	yes
papa	70	reclaimed	yes
grace	69	reclaimed	yes
realise	69	common_gap	no
pizza	68	reclaimed	yes
shore	68	common_gap	yes
caterpillar	67	reclaimed	yes
selfish	67	common_gap	yes
wagon	67	common_gap	yes
ladder	66	common_gap	yes
paw	66	common_gap	yes
rocket	66	common_gap	yes
sleepy	66	common_gap	yes
sour	66	reclaimed	yes
thankful	66	common_gap	yes
mitten	65	reclaimed	yes
glow	64	common_gap	yes
tag	64	common_gap	yes
bench	63	common_gap	yes
bull	63	reclaimed	yes
zip	63	reclaimed	yes
clumsy	62	reclaimed	yes
gem	62	reclaimed	yes
clay	61	common_gap	yes
frustrate	61	common_gap	yes
honey	61	reclaimed	yes
tidy	61	reclaimed	yes
wag	61	common_gap	yes
cactus	60	reclaimed	yes
chew	60	common_gap	yes
brightly	59	common_gap	yes
arrow	58	common_gap	yes
candle	58	common_gap	yes
comet	58	reclaimed	yes
eager	58	reclaimed	yes
messy	58	common_gap	yes
ruin	58	common_gap	yes
twirl	58	common_gap	no
frown	57	common_gap	yes
turkey	57	common_gap	yes
bald	56	common_gap	yes
icy	56	reclaimed	yes
lick	56	common_gap	yes
raven	56	reclaimed	yes
stumble	56	common_gap	yes
accidentally	55	common_gap	yes
adventurous	55	common_gap	yes
crown	55	common_gap	yes
dolphin	55	common_gap	yes
lizard	55	common_gap	yes
maze	55	common_gap	yes
obedient	55	common_gap	yes
sneeze	55	common_gap	yes
octopus	54	common_gap	yes
barber	53	common_gap	yes
bloom	53	reclaimed	yes
dinosaur	53	common_gap	yes
dizzy	53	common_gap	yes
log	53	common_gap	yes
pirate	53	common_gap	yes
chirp	52	reclaimed	yes
fridge	52	common_gap	no
grumpy	52	common_gap	no
hive	52	common_gap	yes
soar	52	common_gap	yes
violin	52	common_gap	yes
buzz	51	reclaimed	yes
cherry	51	common_gap	yes
pillow	51	common_gap	yes
smith	51	reclaimed	yes
delicate	50	common_gap	yes
mighty	50	reclaimed	yes
exclaim	49	common_gap	yes
olive	49	reclaimed	yes
squeeze	49	common_gap	yes
cushion	48	common_gap	yes
eraser	48	common_gap	yes
fin	48	reclaimed	yes
henry	48	reclaimed	yes
higher	48	common_gap	yes
kayak	48	reclaimed	yes
leash	48	common_gap	yes
poppy	48	reclaimed	yes
ignorant	47	reclaimed	yes
jet	47	reclaimed	yes
jewel	47	reclaimed	yes
juicy	47	common_gap	yes
otter	47	common_gap	yes
persistent	47	common_gap	yes
spoil	47	common_gap	yes
surrender	47	reclaimed	yes
blueberry	46	common_gap	yes
cage	46	common_gap	yes
clown	46	reclaimed	yes
crab	46	common_gap	yes
dull	46	common_gap	yes
flute	46	reclaimed	yes
gasp	46	common_gap	yes
glue	46	common_gap	yes
pit	46	reclaimed	yes
pole	46	reclaimed	yes
shopkeeper	46	common_gap	yes
spray	46	common_gap	yes
witch	46	common_gap	yes
foolish	45	common_gap	yes
hippo	45	reclaimed	yes
leak	45	common_gap	yes
loyal	45	common_gap	yes
marble	45	common_gap	yes
safely	45	common_gap	yes
whale	45	common_gap	yes
deer	44	common_gap	yes
fountain	44	common_gap	yes
kindness	44	common_gap	yes
nosy	44	common_gap	yes
parade	44	common_gap	yes
pear	44	common_gap	yes
purse	44	common_gap	yes
tummy	44	common_gap	yes
turtle	44	reclaimed	yes
charming	43	common_gap	yes
weird	43	common_gap	yes
cabin	42	common_gap	yes
dove	42	common_gap	yes
trunk	42	common_gap	yes
vase	42	common_gap	yes
wand	42	common_gap	yes
zoo	42	common_gap	yes
chubby	41	reclaimed	yes
cone	41	reclaimed	yes
crack	41	reclaimed	yes
patch	41	common_gap	yes
raft	41	common_gap	yes
sweetheart	41	reclaimed	yes
tremble	41	common_gap	yes
tutor	41	common_gap	yes
wolf	41	common_gap	yes
alert	40	common_gap	yes
frank	40	reclaimed	yes
knob	40	common_gap	yes
laundry	40	common_gap	yes
lightning	40	common_gap	yes
mushroom	40	reclaimed	yes
necklace	40	common_gap	yes
oyster	40	common_gap	yes
proudly	40	common_gap	yes
sweetie	40	reclaimed	yes
twig	40	common_gap	yes
volcano	40	reclaimed	yes
barn	39	common_gap	yes
beam	39	common_gap	yes
blink	39	common_gap	yes
cube	39	common_gap	yes
mole	39	common_gap	yes
poke	39	common_gap	yes
shark	39	common_gap	yes
stubborn	39	common_gap	yes
velvet	39	reclaimed	yes
fake	38	common_gap	yes
fierce	38	common_gap	yes
flashlight	38	common_gap	yes
hairy	38	common_gap	yes
trap	38	common_gap	yes
tuna	38	reclaimed	yes
vine	38	common_gap	yes
cane	37	common_gap	yes
cocoa	37	common_gap	yes
crane	37	common_gap	yes
graceful	37	common_gap	yes
harbor	37	reclaimed	yes
harmless	37	common_gap	yes
knight	37	common_gap	yes
playful	37	common_gap	yes
polish	37	common_gap	yes
spike	37	reclaimed	yes
sticker	37	common_gap	yes
swan	37	common_gap	yes
triangle	37	common_gap	yes
trophy	37	common_gap	yes
hammer	36	common_gap	yes
knot	36	common_gap	yes
mask	36	common_gap	yes
scissor	36	common_gap	no
snap	36	reclaimed	yes
spill	36	common_gap	yes
attic	35	common_gap	yes
flap	35	common_gap	yes
horn	35	common_gap	yes
laser	35	reclaimed	yes
meow	35	reclaimed	yes
pigeon	35	reclaimed	yes
rat	35	reclaimed	yes
shrimp	35	common_gap	yes
thread	35	common_gap	yes
zebra	35	common_gap	yes
axe	34	common_gap	yes
chamber	34	common_gap	yes
clapping	34	common_gap	no
folder	34	common_gap	yes
hay	34	reclaimed	yes
mailbox	34	common_gap	yes
miserable	34	common_gap	yes
sniff	34	common_gap	yes
spaghetti	34	common_gap	yes
beep	33	reclaimed	yes
bossy	33	common_gap	yes
envelope	33	common_gap	yes
firework	33	common_gap	yes
fragile	33	common_gap	yes
harsh	33	common_gap	yes
hook	33	common_gap	yes
jolly	33	common_gap	yes
modest	33	common_gap	yes
ow	33	reclaimed	yes
pebble	33	common_gap	yes
pie	33	common_gap	yes
razor	33	common_gap	yes
squash	33	reclaimed	yes
disgust	32	common_gap	yes
envious	32	common_gap	yes
faucet	32	reclaimed	yes
goose	32	reclaimed	yes
grin	32	common_gap	yes
heal	32	common_gap	yes
muffin	32	common_gap	no
snowy	32	reclaimed	yes
tease	32	common_gap	yes
thoughtful	32	common_gap	yes
tuck	32	common_gap	no
beetle	31	common_gap	yes
blackboard	31	reclaimed	no
bump	31	common_gap	yes
chimney	31	common_gap	yes
distant	31	reclaimed	yes
filthy	31	common_gap	yes
gloomy	31	common_gap	yes
golden	31	common_gap	yes
growl	31	common_gap	yes
hoop	31	common_gap	yes
leopard	31	reclaimed	yes
louder	31	common_gap	no
mechanic	31	common_gap	yes
mill	31	common_gap	yes
pastel	31	common_gap	yes
pill	31	common_gap	yes
pup	31	reclaimed	yes
swamp	31	common_gap	yes
vendor	31	common_gap	yes
zigzag	31	reclaimed	yes
compassionate	30	common_gap	yes
creek	30	common_gap	yes
flutter	30	common_gap	yes
lemonade	30	reclaimed	yes
lollipop	30	common_gap	no
loop	30	reclaimed	yes
mixer	30	common_gap	yes
perfume	30	common_gap	yes
pumpkin	30	common_gap	yes
veil	30	common_gap	yes
wheat	30	common_gap	yes
yawn	30	common_gap	yes
awe	29	reclaimed	yes
pause	29	common_gap	yes
pedal	29	common_gap	yes
petal	29	common_gap	yes
pine	29	reclaimed	yes
rug	29	common_gap	yes
sausage	29	common_gap	yes
scooter	29	common_gap	yes
snowman	29	common_gap	yes
snuggle	29	common_gap	no
sunflower	29	reclaimed	yes
yacht	29	common_gap	yes
yogurt	29	reclaimed	yes
boo	28	reclaimed	yes
comb	28	common_gap	yes
jelly	28	common_gap	yes
massage	28	common_gap	yes
nicely	28	common_gap	yes
peach	28	reclaimed	yes
refresh	28	common_gap	yes
sandcastle	28	common_gap	yes
scatter	28	common_gap	yes
stitch	28	common_gap	yes
tray	28	common_gap	yes
trumpet	28	common_gap	yes
tweet	28	reclaimed	yes
amazement	27	common_gap	yes
bandage	27	common_gap	yes
calendar	27	common_gap	yes
cuddle	27	common_gap	yes
drawer	27	common_gap	yes
eagerly	27	common_gap	yes
helpless	27	common_gap	yes
hut	27	reclaimed	yes
lid	27	common_gap	yes
microscope	27	common_gap	yes
neighbourhood	27	common_gap	no
rake	27	common_gap	yes
reverse	27	common_gap	yes
rod	27	reclaimed	yes
scoop	27	common_gap	yes
softly	27	common_gap	yes
strawberry	27	common_gap	yes
sunset	27	common_gap	yes
tug	27	common_gap	yes
zipper	27	common_gap	yes
crib	26	common_gap	yes
dishwasher	26	common_gap	yes
dive	26	common_gap	yes
fascinated	26	common_gap	yes
fireman	26	common_gap	yes
forth	26	common_gap	yes
gaze	26	common_gap	yes
gear	26	common_gap	yes
kangaroo	26	reclaimed	yes
pastry	26	common_gap	yes
shiver	26	common_gap	yes
spade	26	common_gap	yes
worm	26	common_gap	yes
yoga	26	common_gap	yes
apron	25	common_gap	yes
beak	25	common_gap	yes
beneath	25	common_gap	yes
breeze	25	common_gap	yes
counter	25	common_gap	yes
deaf	25	reclaimed	yes
disturb	25	common_gap	yes
dough	25	common_gap	yes
gum	25	common_gap	yes
herb	25	common_gap	yes
hiding	25	reclaimed	yes
ink	25	common_gap	yes
missile	25	common_gap	yes
panda	25	common_gap	yes
penguin	25	common_gap	yes
quarrel	25	common_gap	yes
reef	25	common_gap	yes
scare	25	common_gap	yes
scratch	25	common_gap	yes
shrink	25	common_gap	yes
tap	25	common_gap	yes
ash	24	common_gap	yes
bracelet	24	common_gap	yes
collar	24	common_gap	yes
fearful	24	common_gap	yes
gust	24	common_gap	yes
igloo	24	reclaimed	yes
jail	24	common_gap	yes
lime	24	reclaimed	yes
oat	24	common_gap	no
paddle	24	common_gap	yes
palm	24	common_gap	yes
pat	24	reclaimed	yes
pinch	24	common_gap	yes
popcorn	24	common_gap	yes
shampoo	24	common_gap	yes
stack	24	common_gap	yes
suitcase	24	common_gap	yes
sunlight	24	common_gap	yes
birdcage	23	common_gap	no
bravely	23	common_gap	yes
chess	23	common_gap	yes
clearing	23	common_gap	yes
copper	23	reclaimed	yes
gorilla	23	reclaimed	yes
haircut	23	common_gap	no
humble	23	common_gap	yes
jerry	23	reclaimed	yes
makeup	23	common_gap	no
microphone	23	common_gap	yes
oats	23	common_gap	yes
opera	23	common_gap	yes
scrub	23	common_gap	yes
skeleton	23	reclaimed	yes
sofa	23	common_gap	yes
thumb	23	common_gap	yes
vroom	23	common_gap	no
anchor	22	common_gap	yes
applaud	22	common_gap	yes
grape	22	common_gap	yes
infant	22	common_gap	yes
magnet	22	common_gap	yes
perch	22	common_gap	yes
pride	22	common_gap	yes
restless	22	common_gap	yes
rot	22	common_gap	yes
scurry	22	common_gap	no
avocado	21	common_gap	yes
bang	21	reclaimed	yes
dare	21	common_gap	yes
darkness	21	common_gap	yes
fuzzy	21	reclaimed	yes
granny	21	reclaimed	yes
helmet	21	common_gap	yes
kneel	21	common_gap	yes
ornament	21	common_gap	yes
soak	21	common_gap	yes
thunder	21	common_gap	yes
tickle	21	common_gap	yes
trail	21	common_gap	yes
twinkle	21	reclaimed	yes
twisted	21	common_gap	no
unite	21	reclaimed	yes
unpack	21	common_gap	yes
veterinarian	21	reclaimed	yes
waist	21	common_gap	yes
whip	21	common_gap	yes
adorable	20	common_gap	yes
bookcase	20	common_gap	yes
cart	20	common_gap	yes
cereal	20	common_gap	yes
cheek	20	common_gap	yes
chore	20	common_gap	yes
fort	20	common_gap	yes
grill	20	common_gap	yes
hedge	20	common_gap	yes
jellyfish	20	common_gap	yes
overjoy	20	common_gap	no
porch	20	common_gap	yes
rag	20	common_gap	yes
rhinoceros	20	common_gap	yes
ribbon	20	common_gap	yes
screw	20	reclaimed	yes
shrug	20	common_gap	yes
slap	20	common_gap	yes
slippery	20	common_gap	yes
thermometer	20	common_gap	yes
unlock	20	common_gap	yes
vest	20	common_gap	yes
warmth	20	common_gap	yes
weep	20	common_gap	yes
yarn	20	common_gap	yes
alright	19	common_gap	yes
birdie	19	common_gap	no
blouse	19	common_gap	yes
buckle	19	common_gap	yes
cauliflower	19	common_gap	yes
chop	19	common_gap	yes
hunter	19	common_gap	yes
itch	19	common_gap	yes
luckily	19	reclaimed	yes
napkin	19	common_gap	yes
reindeer	19	common_gap	yes
sandbox	19	common_gap	yes
scarf	19	common_gap	yes
skull	19	common_gap	yes
venture	19	common_gap	yes
boom	18	common_gap	yes
broccoli	18	common_gap	yes
cracker	18	common_gap	yes
creep	18	common_gap	yes
kindly	18	common_gap	yes
mop	18	common_gap	yes
mule	18	common_gap	yes
mustache	18	common_gap	no
pancake	18	reclaimed	yes
ripe	18	common_gap	yes
shield	18	common_gap	yes
spark	18	common_gap	yes
spit	18	common_gap	yes
steak	18	common_gap	yes
sword	18	common_gap	yes
toast	18	common_gap	yes
vet	18	common_gap	no
villager	18	common_gap	yes
anytime	17	common_gap	yes
barrel	17	common_gap	yes
bathe	17	common_gap	yes
chalk	17	common_gap	yes
drain	17	common_gap	yes
drift	17	common_gap	yes
fireplace	17	common_gap	yes
lumber	17	common_gap	yes
ouch	17	reclaimed	yes
respectful	17	common_gap	yes
scold	17	common_gap	yes
sip	17	common_gap	yes
sneak	17	common_gap	yes
sprinkle	17	common_gap	yes
sunrise	17	common_gap	yes
tide	17	common_gap	yes
vanish	17	common_gap	yes
wardrobe	17	common_gap	yes
backpack	16	common_gap	yes
bouncy	16	common_gap	no
bulb	16	reclaimed	yes
crystal	16	reclaimed	yes
floppy	16	reclaimed	yes
fog	16	common_gap	yes
hanger	16	common_gap	no
mug	16	reclaimed	yes
outfit	16	common_gap	yes
patiently	16	common_gap	yes
prune	16	common_gap	yes
rip	16	common_gap	yes
seagull	16	common_gap	yes
seal	16	common_gap	yes
steam	16	common_gap	yes
twist	16	common_gap	yes
airplane	15	common_gap	yes
bun	15	reclaimed	yes
cabinet	15	common_gap	yes
cautiously	15	common_gap	yes
cupcake	15	common_gap	yes
elf	15	reclaimed	yes
giraffe	15	common_gap	yes
hallway	15	common_gap	yes
hose	15	common_gap	yes
notebook	15	common_gap	yes
oak	15	common_gap	yes
oxygen	15	common_gap	yes
pajama	15	common_gap	yes
pearl	15	common_gap	yes
prettiest	15	common_gap	no
ranch	15	common_gap	yes
reminder	15	common_gap	yes
sadness	15	common_gap	yes
whisker	15	reclaimed	yes
barely	14	common_gap	yes
canvas	14	common_gap	yes
carriage	14	common_gap	yes
celery	14	common_gap	yes
comfy	14	common_gap	no
cop	14	common_gap	yes
curiosity	14	reclaimed	yes
flavor	14	common_gap	yes
freezer	14	common_gap	yes
intrigue	14	common_gap	yes
jeep	14	common_gap	yes
ladybug	14	reclaimed	yes
lotion	14	common_gap	no
melody	14	reclaimed	yes
panic	14	common_gap	yes
pupil	14	common_gap	yes
sew	14	common_gap	yes
shovel	14	common_gap	yes
sore	14	common_gap	yes
starfish	14	common_gap	yes
superhero	14	common_gap	yes
sway	14	common_gap	yes
thrill	14	common_gap	yes
underneath	14	common_gap	yes
ambulance	13	common_gap	yes
bedtime	13	common_gap	yes
brighter	13	common_gap	no
bully	13	common_gap	yes
campfire	13	common_gap	yes
cricket	13	common_gap	yes
eagle	13	common_gap	yes
fade	13	common_gap	yes
flora	13	reclaimed	yes
forgave	13	common_gap	no
knelt	13	common_gap	no
marker	13	common_gap	yes
melon	13	common_gap	yes
onwards	13	common_gap	no
parrot	13	reclaimed	yes
ray	13	common_gap	yes
restore	13	common_gap	yes
rob	13	reclaimed	yes
rover	13	reclaimed	yes
shed	13	common_gap	yes
sting	13	common_gap	yes
stroke	13	common_gap	yes
unpacked	13	common_gap	no
acorn	12	common_gap	yes
bathtub	12	common_gap	yes
batter	12	common_gap	yes
cardboard	12	common_gap	yes
coral	12	common_gap	yes
curl	12	common_gap	yes
dip	12	common_gap	yes
helper	12	common_gap	yes
holly	12	reclaimed	yes
lawn	12	common_gap	yes
mailman	12	common_gap	yes
medal	12	common_gap	yes
muddy	12	common_gap	yes
nectar	12	reclaimed	yes
nutty	12	reclaimed	yes
purr	12	common_gap	yes
quack	12	common_gap	yes
rumble	12	common_gap	yes
rusty	12	reclaimed	yes
shannon	12	reclaimed	yes
sidewalk	12	common_gap	yes
snail	12	reclaimed	yes
squeal	12	common_gap	yes
swung	12	common_gap	no
temple	12	reclaimed	yes
warrior	12	common_gap	yes
armchair	11	common_gap	yes
brownie	11	reclaimed	yes
bumpy	11	reclaimed	yes
burst	11	common_gap	yes
chuckle	11	common_gap	no
circus	11	common_gap	yes
claws	11	common_gap	no
creamy	11	common_gap	no
drank	11	common_gap	no
exhaust	11	common_gap	yes
explorer	11	common_gap	yes
fabric	11	common_gap	yes
fisherman	11	common_gap	yes
ginger	11	reclaimed	yes
glitter	11	common_gap	yes
gracefully	11	common_gap	yes
honking	11	common_gap	yes
horizon	11	common_gap	yes
jug	11	common_gap	yes
marshmallow	11	common_gap	no
maya	11	reclaimed	yes
nick	11	reclaimed	yes
noon	11	reclaimed	yes
oasis	11	common_gap	yes
ostrich	11	common_gap	yes
pasta	11	common_gap	yes
potion	11	common_gap	yes
precious	11	common_gap	yes
sibling	11	common_gap	yes
snuck	11	common_gap	no
spaceship	11	common_gap	yes
spear	11	common_gap	yes
stem	11	common_gap	yes
tricky	11	common_gap	yes
wallet	11	common_gap	yes
wiggle	11	common_gap	yes
yucky	11	common_gap	no
ashtray	10	reclaimed	yes
bat	10	common_gap	yes
billboard	10	common_gap	yes
bin	10	reclaimed	yes
budge	10	common_gap	no
compassion	10	common_gap	yes
crow	10	reclaimed	yes
dresser	10	common_gap	yes
firefly	10	common_gap	yes
grandchild	10	common_gap	yes
hider	10	common_gap	yes
hopeful	10	common_gap	yes
itchy	10	common_gap	no
luggage	10	common_gap	yes
navy	10	reclaimed	yes
patience	10	common_gap	yes
peer	10	common_gap	yes
pippin	10	reclaimed	yes
quiz	10	common_gap	yes
racer	10	common_gap	no
reassure	10	common_gap	yes
rustle	10	common_gap	yes
slimy	10	common_gap	yes
snatch	10	common_gap	yes
soapy	10	common_gap	no
someday	10	common_gap	yes
spice	10	common_gap	yes
storekeeper	10	common_gap	no
strip	10	reclaimed	yes
toddler	10	common_gap	yes
vow	10	common_gap	yes
willow	10	reclaimed	yes
wisdom	10	common_gap	yes
wizard	10	reclaimed	yes
wobble	10	common_gap	yes
yield	10	common_gap	yes
accomplish	9	common_gap	yes
awake	9	reclaimed	yes
beard	9	common_gap	yes
bongo	9	reclaimed	yes
bravery	9	common_gap	yes
cobweb	9	common_gap	yes
crumb	9	common_gap	yes
dolly	9	common_gap	yes
echo	9	common_gap	yes
feast	9	common_gap	yes
fetch	9	common_gap	yes
firefighter	9	common_gap	yes
greedy	9	common_gap	yes
hiss	9	common_gap	yes
kingdom	9	common_gap	yes
mattress	9	common_gap	yes
onward	9	common_gap	no
paintbrush	9	common_gap	yes
pinky	9	reclaimed	yes
practise	9	common_gap	no
raccoon	9	common_gap	yes
reluctantly	9	common_gap	yes
riddle	9	common_gap	yes
ruby	9	reclaimed	yes
sailboat	9	common_gap	yes
seeker	9	common_gap	yes
speedy	9	reclaimed	yes
startle	9	reclaimed	yes
stomp	9	common_gap	no
sunglass	9	common_gap	no
swirl	9	common_gap	yes
tick	9	common_gap	yes
tub	9	common_gap	yes
unlocked	9	common_gap	no
x	9	common_gap	no
acceptor	8	reclaimed	yes
accomplishment	8	common_gap	yes
bead	8	common_gap	yes
belly	8	common_gap	yes
belove	8	common_gap	no
chipmunk	8	common_gap	yes
cough	8	common_gap	yes
darling	8	common_gap	yes
dot	8	common_gap	yes
dragonfly	8	common_gap	yes
glee	8	common_gap	yes
glimmer	8	common_gap	yes
jailer	8	common_gap	yes
keeper	8	common_gap	yes
magician	8	common_gap	yes
maple	8	reclaimed	yes
marching	8	common_gap	yes
mermaid	8	common_gap	yes
mosquito	8	reclaimed	yes
playtime	8	common_gap	yes
pluck	8	common_gap	yes
pudding	8	reclaimed	yes
scamper	8	common_gap	no
spooky	8	common_gap	yes
stew	8	common_gap	yes
stripe	8	common_gap	yes
swoop	8	common_gap	no
telescope	8	common_gap	yes
tiptoe	8	common_gap	no
twisting	8	common_gap	yes
unsure	8	common_gap	yes
warmly	8	common_gap	yes
wink	8	common_gap	yes
admiration	7	common_gap	yes
afar	7	common_gap	yes
backwards	7	common_gap	yes
basement	7	common_gap	yes
beaver	7	reclaimed	yes
beehive	7	common_gap	yes
broom	7	common_gap	yes
buddy	7	reclaimed	yes
buggy	7	reclaimed	yes
burrow	7	common_gap	yes
carol	7	reclaimed	yes
cliff	7	common_gap	yes
cluck	7	common_gap	yes
cottage	7	common_gap	yes
crunchy	7	common_gap	yes
curiously	7	common_gap	no
diving	7	common_gap	yes
doorway	7	common_gap	yes
dusty	7	common_gap	yes
faraway	7	common_gap	no
frost	7	common_gap	yes
hen	7	common_gap	yes
honk	7	common_gap	yes
kin	7	reclaimed	yes
mane	7	common_gap	yes
munch	7	common_gap	yes
plead	7	common_gap	yes
politely	7	common_gap	yes
popper	7	common_gap	no
pout	7	common_gap	yes
puff	7	common_gap	yes
quilt	7	common_gap	yes
ranger	7	common_gap	no
ruler	7	common_gap	yes
scar	7	common_gap	yes
screwdriver	7	common_gap	yes
shoo	7	reclaimed	yes
spoonful	7	common_gap	yes
sternly	7	common_gap	no
stroll	7	common_gap	yes
texture	7	common_gap	yes
tractor	7	common_gap	yes
trampoline	7	common_gap	yes
treehouse	7	common_gap	no
waffle	7	common_gap	yes
windy	7	common_gap	yes
alligator	6	common_gap	yes
ana	6	reclaimed	no
astronaut	6	common_gap	yes
auntie	6	reclaimed	yes
brick	6	common_gap	yes
cashier	6	common_gap	yes
chad	6	reclaimed	yes
conquer	6	common_gap	yes
creativity	6	common_gap	yes
devastate	6	common_gap	yes
dripping	6	common_gap	no
driveway	6	common_gap	yes
farewell	6	common_gap	yes
gobble	6	common_gap	no
grassy	6	common_gap	yes
ha	6	common_gap	no
hamster	6	common_gap	yes
handy	6	common_gap	yes
harvest	6	common_gap	yes
hesitant	6	common_gap	yes
hood	6	common_gap	yes
instantly	6	common_gap	yes
jasmine	6	reclaimed	yes
joyfully	6	common_gap	yes
lap	6	common_gap	yes
masterpiece	6	common_gap	yes
mist	6	common_gap	yes
moo	6	reclaimed	yes
nervously	6	common_gap	yes
newfound	6	common_gap	no
nibble	6	common_gap	yes
pecked	6	common_gap	no
peel	6	common_gap	yes
porcupine	6	reclaimed	yes
prank	6	common_gap	yes
rainy	6	common_gap	yes
recorder	6	common_gap	yes
robin	6	reclaimed	yes
satisfaction	6	common_gap	yes
scent	6	common_gap	yes
scrap	6	common_gap	yes
silently	6	common_gap	yes
snowflake	6	common_gap	yes
spanish	6	reclaimed	yes
sponge	6	common_gap	yes
spy	6	common_gap	yes
squeaky	6	reclaimed	yes
straw	6	common_gap	yes
tangle	6	common_gap	yes
teaspoon	6	common_gap	yes
terrify	6	common_gap	yes
tock	6	common_gap	no
tornado	6	common_gap	yes
tumble	6	common_gap	yes
turnip	6	common_gap	yes
uncover	6	common_gap	yes
untie	6	common_gap	yes
weeping	6	common_gap	yes
widen	6	common_gap	yes
yelp	6	common_gap	yes
zookeeper	6	common_gap	no
adjust	5	common_gap	yes
aisle	5	common_gap	yes
anticipation	5	common_gap	yes
appreciation	5	common_gap	yes
badge	5	common_gap	yes
bathrobe	5	common_gap	yes
blender	5	common_gap	yes
bolt	5	common_gap	yes
bound	5	common_gap	yes
brad	5	reclaimed	yes
brighten	5	common_gap	yes
bunnie	5	common_gap	no
buyer	5	common_gap	yes
cactuse	5	common_gap	no
calmly	5	common_gap	yes
cape	5	common_gap	yes
caw	5	reclaimed	yes
chug	5	common_gap	no
cobwebs	5	common_gap	no
coo	5	reclaimed	yes
croak	5	common_gap	yes
den	5	common_gap	yes
doggie	5	common_gap	no
donkey	5	common_gap	yes
doze	5	common_gap	yes
drip	5	common_gap	yes
ease	5	common_gap	yes
elder	5	common_gap	yes
fins	5	common_gap	no
firmly	5	common_gap	yes
flea	5	common_gap	yes
glisten	5	common_gap	yes
gorgeous	5	common_gap	yes
granddad	5	reclaimed	yes
granddaughter	5	reclaimed	yes
gratitude	5	common_gap	yes
graze	5	common_gap	yes
groom	5	common_gap	yes
gulp	5	common_gap	yes
handful	5	common_gap	yes
handsome	5	common_gap	yes
healing	5	common_gap	yes
hum	5	common_gap	yes
instinct	5	common_gap	yes
jay	5	reclaimed	yes
junk	5	common_gap	yes
lava	5	common_gap	yes
lettuce	5	common_gap	yes
marvel	5	common_gap	yes
mint	5	common_gap	yes
motion	5	common_gap	yes
nasty	5	common_gap	yes
naughtiness	5	common_gap	no
neatly	5	common_gap	yes
oatmeal	5	common_gap	yes
peacefully	5	common_gap	yes
peck	5	common_gap	yes
