token	total_count	universality	is_propn	is_name_cased	zipf
henry	48	1	1	1	4.74
lithuania	48	2	1	1	3.5
rosie	48	1	1	1	3.61
mandy	47	1	1	1	3.37
bella	46	1	1	1	3.74
elly	45	1	1	1	2.7
danny	44	1	1	1	4.25
ducky	44	1	1	1	2.68
leo	44	1	1	1	4.23
ted	43	1	1	1	4.26
josh	42	1	1	1	4.35
compliance	41	2	1	1	4.17
rachel	41	1	1	1	4.15
dave	40	1	1	1	4.44
frank	40	1	1	1	4.75
remy	40	1	1	1	3.27
taxes	39	2	1	1	4.65
european	38	2	1	1	5.08
millie	38	1	1	1	3.2
mittens	38	1	1	1	2.88
importers	37	1	1	1	2.95
lilly	36	1	1	1	3.54
preferential	36	2	0	1	3.21
states	36	2	1	1	5.52
tony	36	1	1	1	4.64
betty	35	1	1	1	3.92
clearance	35	2	1	1	3.96
doggy	34	1	1	1	3.33
kate	34	1	1	1	4.34
ncts	34	1	1	1	1.02
paul	34	1	1	1	5.03
afcfta	33	1	1	1	0.0
charlie	33	1	1	1	4.43
freddy	33	1	1	1	3.44
maddy	33	1	1	1	2.97
ann	32	1	1	1	4.35
ella	32	1	1	1	3.63
mike	32	1	1	1	4.8
traders	32	1	0	1	3.95
ukraine	32	1	1	1	4.32
blackboard	31	1	1	0	3.02
declaration	31	2	1	1	4.1
steve	31	1	1	1	4.71
annie	30	1	1	1	3.94
tilly	30	1	1	1	2.94
tweetie	30	1	1	1	1.59
nora	28	1	1	1	3.52
ralph	28	1	1	1	4.1
maggie	27	1	1	1	3.8
sharing	27	2	1	1	4.66
aeos	26	1	1	1	0.0
cindy	26	1	1	1	3.58
gary	26	1	1	1	4.39
nemo	26	1	1	1	3.17
tariffs	26	2	1	1	3.63
abigail	25	1	1	1	3.38
clara	25	1	1	1	3.8
emmy	25	1	1	1	3.73
republic	25	1	1	1	4.6
yay	25	1	1	1	3.92
beth	24	1	1	1	3.87
cjeu	24	1	1	1	1.85
chirpy	23	1	1	1	2.23
cn	23	1	1	1	3.38
jerry	23	1	1	1	4.26
milly	23	1	1	1	3.05
rex	23	1	1	1	3.89
vroom	23	1	0	1	2.72
bobo	22	1	1	1	3.01
canada	22	2	1	1	4.97
chloe	22	1	1	1	3.75
julia	22	1	1	1	4.12
claire	21	1	1	1	3.98
israel	21	1	1	1	4.77
mimi	21	1	1	1	3.31
annex	20	1	1	1	3.5
buzzy	20	1	1	1	2.46
logistics	20	2	1	1	3.86
luna	20	1	1	1	3.62
suzy	20	1	1	1	3.15
tobacco	20	1	1	1	4.19
vat	20	2	1	1	3.54
abbie	19	1	1	1	2.93
aeoc	19	1	1	1	0.0
betsy	19	1	1	1	3.42
binky	19	1	1	1	2.36
bulgaria	19	2	1	1	3.9
certificate	19	1	1	0	4.29
hs	19	2	1	1	3.69
julie	19	1	1	1	4.09
liz	18	1	1	1	3.83
pandy	18	1	1	1	1.83
todd	18	1	1	1	4.09
ukrainian	18	1	1	1	4.18
vietnam	18	2	1	1	4.31
excise	17	2	1	1	3.26
jacky	17	1	1	1	2.82
kelly	17	1	1	1	4.44
nana	17	1	1	1	3.54
super	17	1	1	1	5.08
tina	17	1	1	1	3.76
yum	17	1	1	1	3.46
lizzie	16	1	1	1	3.34
smes	16	2	1	1	3.07
authorisations	15	1	0	1	1.86
brazil	15	1	1	1	4.58
bun	15	1	1	1	3.56
daniel	15	2	1	1	4.62
johnson	15	1	1	1	4.72
larry	15	1	1	1	4.28
lulu	15	1	1	1	3.33
robbie	15	1	1	1	3.84
african	14	2	1	1	4.82
doug	14	1	1	1	4.02
goodnight	14	1	1	1	3.64
ireland	14	2	1	1	4.66
kim	14	1	1	1	4.59
rita	14	1	1	1	3.75
ryan	14	1	1	1	4.59
shipping	14	2	1	1	4.52
suzie	14	1	1	1	2.77
abby	13	1	1	1	3.56
judy	13	1	1	1	3.79
nina	13	1	1	1	3.85
stella	13	1	1	1	3.7
uk	13	1	1	1	5.12
wiggly	13	1	1	1	2.49
flo	12	1	1	1	3.3
kayla	12	1	1	1	3.11
lithuanian	12	1	1	1	3.2
michelle	12	1	1	1	4.16
nomenclature	12	1	1	1	3.21
pam	12	1	1	1	3.6
rory	12	1	1	1	3.72
shannon	12	1	1	1	3.76
tabby	12	1	1	1	2.79
wto	12	1	1	1	3.23
becky	11	1	1	1	3.63
brownie	11	1	1	1	3.21
charles	11	1	1	1	4.77
david	11	2	1	1	5.13
denise	11	1	1	1	3.57
dina	11	1	1	1	3.09
dotty	11	1	1	1	2.5
ernie	11	1	1	1	3.45
freight	11	1	1	1	3.99
hub	11	1	1	1	4.08
jonas	11	2	1	1	3.74
louie	11	1	1	1	3.38
maya	11	1	1	1	3.87
mmm	11	1	1	1	3.55
nick	11	1	1	1	4.59
patrick	11	1	1	1	4.37
tess	11	1	1	1	3.23
trader	11	1	1	1	3.77
woof	11	1	1	1	3.12
angie	10	1	1	1	3.35
canadian	10	2	0	1	4.7
carla	10	1	1	1	3.44
ellie	10	1	1	1	3.62
grandbaby	10	1	1	0	1.91
hannah	10	1	1	1	4.05
isabel	10	1	1	1	3.57
jana	10	1	1	1	3.06
jason	10	2	1	1	4.46
linda	10	1	1	1	4.06
liza	10	1	1	1	3.28
macy	10	1	1	1	3.01
mae	10	1	1	1	3.65
margaret	10	1	1	1	4.23
maxi	10	1	1	1	3.26
pippin	10	1	1	1	2.78
russel	10	1	1	1	3.03
sophia	10	1	1	1	3.7
switzerland	10	2	1	1	4.23
timothy	10	1	1	1	3.82
yuck	10	1	1	1	3.06
accession	9	1	1	1	3.4
africa	9	1	1	1	4.92
anti	9	2	1	1	5.01
ashley	9	1	1	1	4.11
authorised	9	1	1	1	3.61
ayla	9	1	1	1	2.41
bruce	9	1	1	1	4.34
cargo	9	1	1	1	4.19
cari	9	1	1	1	2.38
chris	9	1	1	1	4.81
dhl	9	2	1	1	2.73
diana	9	1	1	1	4.02
emilda	9	1	1	1	0.0
ets	9	1	1	1	2.95
evfta	9	1	1	1	0.0
fertilisers	9	1	1	1	2.42
gavin	9	1	1	1	3.74
georgi	9	1	1	1	2.63
gracie	9	1	1	1	3.24
harry	9	1	1	1	4.72
jean	9	1	1	1	4.36
jeff	9	1	1	1	4.45
maisy	9	1	1	1	1.97
martin	9	1	1	1	4.74
matt	9	2	1	1	4.55
nancy	9	1	1	1	4.14
oliver	9	1	1	1	4.22
para	9	1	1	0	3.85
roger	9	1	1	1	4.39
sylvester	9	1	1	1	3.25
uh	9	1	0	1	4.26
zoomy	9	1	1	1	1.25
acceptor	8	1	1	1	2.75
adam	8	1	1	1	4.57
ali	8	1	1	1	4.31
bluey	8	1	1	1	2.21
centre	8	4	1	1	4.95
china	8	2	1	1	5.1
chirpie	8	1	1	1	0.0
dan	8	1	1	1	4.51
gemma	8	1	1	1	3.33
harper	8	1	1	1	4.04
irish	8	1	1	1	4.54
israeli	8	1	0	1	4.4
jackie	8	1	1	1	3.97
janie	8	1	1	1	2.76
jenna	8	1	1	1	3.54
jennifer	8	1	1	1	4.19
jessica	8	1	1	1	4.17
katie	8	1	1	1	3.96
lizzy	8	1	1	1	3.06
mazzy	8	1	1	1	1.89
meri	8	1	1	1	2.68
nan	8	1	1	1	3.49
pap	8	1	1	1	3.28
rulings	8	1	1	1	3.39
sal	8	1	1	1	3.48
spidey	8	1	1	1	2.75
taxation	8	1	1	1	3.81
tca	8	1	1	1	2.78
wco	8	1	1	1	1.58
arts	7	1	1	1	4.7
baltic	7	1	1	1	3.57
bea	7	1	1	1	3.34
beartie	7	1	1	1	0.0
biggy	7	1	1	1	2.0
buggy	7	1	1	1	3.32
cherie	7	1	1	1	2.84
cif	7	1	1	1	2.71
clarice	7	1	1	1	2.6
continental	7	1	1	1	4.02
elin	7	1	1	1	2.53
elle	7	1	1	1	3.43
eric	7	1	1	1	4.49
fortified	7	1	0	1	3.43
frankie	7	1	1	1	3.65
gabby	7	1	1	1	3.16
germany	7	1	1	1	4.9
gina	7	1	1	1	3.58
goranov	7	1	1	1	1.02
inward	7	1	1	1	3.37
jessi	7	1	1	1	2.57
jessie	7	1	1	1	3.65
juliet	7	1	1	1	3.59
kaitlyn	7	1	1	1	2.85
karen	7	1	1	1	4.09
kari	7	1	1	1	2.98
katy	7	1	1	1	3.65
kg	7	2	1	1	4.08
leticia	7	1	1	1	2.44
libby	7	1	1	1	3.26
maia	7	1	1	1	2.98
marlon	7	1	1	1	3.21
marvin	7	1	1	1	3.66
mona	7	1	1	1	3.54
noah	7	1	1	1	3.93
omer	7	1	1	1	2.87
patty	7	1	1	1	3.58
petey	7	1	1	1	2.57
piper	7	1	1	1	3.68
pixie	7	1	1	1	3.15
quackers	7	1	1	1	1.56
ribbit	7	1	1	1	1.83
ricky	7	1	1	1	3.91
sabina	7	1	1	1	2.72
secretariat	7	1	1	1	3.45
sharon	7	1	1	1	3.92
solvency	7	1	1	1	2.71
supreme	7	1	1	1	4.69
therese	7	1	1	1	2.93
thomas	7	1	1	1	4.84
whoosh	7	1	1	0	2.75
willie	7	1	1	1	3.89
abi	6	1	1	1	3.3
amanda	6	1	1	1	4.0
ana	6	1	1	1	3.89
bobbie	6	1	1	1	2.83
caroline	6	1	1	1	4.01
ccrm	6	1	1	1	0.0
chad	6	1	1	1	3.93
cigars	6	1	0	1	3.37
connie	6	1	1	1	3.47
dippy	6	1	1	1	2.23
ellen	6	1	1	1	4.05
ep	6	1	1	1	4.21
exemption	6	2	0	1	3.65
fido	6	1	1	1	2.64
fob	6	1	1	1	3.1
formalities	6	1	1	1	2.93
froggy	6	1	1	1	2.47
gmbh	6	1	1	1	3.24
ha	6	1	0	1	4.58
harmonized	6	1	1	1	2.63
jacob	6	1	1	1	4.23
jamie	6	1	1	1	4.17
jasmine	6	1	1	1	3.61
jose	6	1	1	1	4.21
josie	6	1	1	1	3.18
kimmy	6	1	1	1	2.81
lacy	6	1	1	1	3.23
laura	6	1	1	1	4.24
lee	6	1	1	1	4.73
marc	6	1	1	1	4.03
margo	6	1	1	1	3.03
marky	6	1	1	1	2.49
mexico	6	2	1	1	4.75
michael	6	1	1	1	5.08
mickey	6	1	1	1	3.86
minnie	6	1	1	1	3.34
missy	6	1	1	1	3.26
momchil	6	1	1	1	0.0
nathan	6	1	1	1	4.13
neenee	6	1	1	1	0.0
olly	6	1	1	1	2.93
paola	6	1	1	1	2.7
pinchy	6	1	1	1	1.44
riley	6	1	1	1	3.9
ruling	6	1	1	1	4.29
seth	6	1	1	1	3.92
shauna	6	1	1	1	2.62
sia	6	1	1	1	3.11
simon	6	2	1	1	4.48
simone	6	1	1	1	3.63
singapore	6	2	1	1	4.35
sized	6	4	0	1	4.27
spanish	6	1	1	1	4.73
sweety	6	1	1	1	2.62
toni	6	1	1	1	3.56
ty	6	1	1	1	3.73
tyler	6	1	1	1	4.17
valsts	6	1	1	1	0.0
zoey	6	1	1	1	3.03
alfie	5	1	1	1	3.2
alicia	5	1	1	1	3.64
alvin	5	1	1	1	3.4
andrew	5	1	1	1	4.57
anny	5	1	1	1	2.19
argentina	5	1	1	1	4.22
authorized	5	1	1	1	4.12
brad	5	1	1	1	4.12
brian	5	1	1	1	4.47
british	5	1	0	1	5.18
carl	5	1	1	1	4.24
choo	5	1	1	0	3.28
clarissa	5	1	1	1	2.98
co	5	1	1	1	5.21
da	5	1	1	1	4.54
de	5	1	1	0	5.23
elsie	5	1	1	1	3.09
enrika	5	1	1	1	0.0
eur	5	1	1	1	3.49
garry	5	1	1	0	3.31
gigi	5	1	1	1	3.19
harmonised	5	1	1	1	2.26
hauptzollamt	5	1	1	1	0.0
ia	5	1	1	1	3.7
ils	5	1	1	1	2.75
jaqui	5	1	1	1	1.08
jay	5	1	1	1	4.38
joseph	5	1	1	1	4.52
latvia	5	2	1	1	3.44
lina	5	1	1	1	3.06
lux	5	1	1	1	3.33
mabel	5	1	1	1	3.25
marty	5	1	1	1	3.64
meg	5	1	1	1	3.55
mel	5	1	1	1	3.8
micky	5	1	1	0	2.91
minimis	5	1	1	0	1.93
moni	5	1	1	1	2.42
notes	5	1	1	1	4.84
parliament	5	1	1	1	4.74
peggy	5	1	1	1	3.57
richie	5	1	1	1	3.67
roo	5	1	1	1	3.1
santa	5	1	1	1	4.49
shaun	5	1	1	1	3.58
simplification	5	1	1	1	2.98
sol	5	1	1	1	3.69
steven	5	1	1	1	4.24
sweetest	5	1	1	0	3.41
tara	5	1	1	1	3.66
whee	5	1	1	1	2.21
amelia	4	1	1	1	3.55
american	4	2	1	1	5.49
articles	4	1	1	1	4.71
australia	4	2	1	1	5.06
belgium	4	1	1	1	4.15
bizzy	4	1	1	1	1.98
brazilian	4	1	0	1	4.23
carrier	4	2	1	0	4.29
chilli	4	1	1	0	3.29
cigarillos	4	1	1	1	1.75
coco	4	1	1	1	3.49
colombia	4	1	1	1	3.95
cumulation	4	1	1	0	1.51
cynthia	4	1	1	1	3.65
debby	4	1	1	1	2.61
disclosure	4	1	0	1	4.0
donna	4	1	1	1	3.84
dory	4	1	1	1	3.1
dr	4	1	1	1	5.24
europe	4	1	1	1	5.04
firstly	4	1	0	1	3.73
freddie	4	1	1	1	3.76
halley	4	1	1	1	2.71
halloween	4	1	1	1	4.16
incoterms	4	2	1	1	1.24
invoices	4	2	1	0	3.09
jemma	4	1	1	1	2.55
jojo	4	1	1	1	3.34
ken	4	1	1	1	4.21
lading	4	1	1	1	2.29
leah	4	1	1	1	3.47
louise	4	1	1	1	4.0
matty	4	1	1	1	3.21
met	4	1	1	1	5.09
mister	4	1	1	1	3.56
momma	4	1	1	1	3.41
ms	4	1	1	1	4.67
mueca	4	1	1	1	0.0
paige	4	1	1	1	3.52
pem	4	1	1	1	2.21
piggy	4	1	1	0	3.3
randy	4	1	1	1	3.92
robby	4	1	1	1	3.01
saila	4	1	1	1	1.02
services	4	2	1	1	5.31
settlement	4	1	1	1	4.49
stan	4	1	1	1	4.06
stils	4	1	1	1	0.0
stretching	4	1	1	1	3.85
toto	4	1	1	1	3.15
treaty	4	2	1	1	4.31
vs	4	1	1	1	4.85
wagner	4	1	1	1	3.71
wally	4	1	1	1	3.45
wilbur	4	1	1	1	3.24
winnie	4	1	1	1	3.32
zones	4	1	1	1	4.12
antov	3	1	1	1	0.0
auditors	3	1	1	1	3.25
birdy	3	1	1	1	2.6
bulgarian	3	1	1	1	3.81
buster	3	1	1	1	3.47
canary	3	1	1	1	3.44
christelle	3	1	1	1	1.69
compendium	3	1	1	1	3.05
computerized	3	1	1	1	3.18
creepy	3	1	1	0	4.04
ddp	3	2	1	1	2.42
ddu	3	1	1	1	2.24
delle	3	1	1	0	2.78
dogane	3	1	1	1	0.0
dsb	3	1	1	1	2.3
eduardo	3	1	1	1	3.34
ethyl	3	1	1	0	2.93
everytime	3	1	1	0	3.69
foldable	3	1	1	1	2.62
france	3	1	1	1	4.94
fulfilling	3	1	0	1	3.71
hillcrest	3	1	1	1	2.55
hoo	3	1	1	1	3.38
hsens	3	1	0	1	0.0
igloos	3	1	1	1	2.04
islands	3	1	1	1	4.5
iv	3	1	1	1	4.38
jimbo	3	1	1	0	2.77
jo	3	1	1	1	4.03
jody	3	1	1	1	3.18
korea	3	2	1	1	4.65
leite	3	1	1	1	1.96
matilda	3	1	1	1	3.26
monika	3	1	1	1	2.92
mras	3	1	1	1	1.84
myanmar	3	2	1	1	3.81
netherlands	3	1	1	1	4.28
operators	3	1	1	1	4.19
organisation	3	1	1	1	4.36
paperwork	3	2	1	1	3.84
percy	3	1	1	1	3.66
phew	3	1	1	1	3.14
pwc	3	1	1	1	2.88
rcep	3	1	1	1	1.54
reporting	3	1	0	1	4.54
rolly	3	1	1	1	2.27
rudy	3	1	1	1	3.62
sabine	3	1	1	1	3.22
shh	3	1	1	1	3.01
srl	3	1	1	1	2.43
startled	3	1	1	0	3.31
surveillance	3	1	0	1	4.17
susan	3	1	1	1	4.24
teasing	3	1	0	1	3.55
thailand	3	2	1	1	4.22
usd	3	2	1	1	3.97
vassilis	3	1	1	1	1.6
vii	3	1	1	1	3.84
weronika	3	1	1	1	1.16
whoa	3	1	1	1	3.82
yep	3	1	1	1	4.39
zara	3	1	1	1	3.3
zizz	3	1	1	1	0.0
accountant	2	2	1	1	3.76
achoo	2	1	1	1	1.7
added	2	1	1	1	5.16
aduaneiras	2	1	1	1	0.0
agents	2	1	1	1	4.55
agenzia	2	1	1	1	1.26
agreements	2	2	1	1	4.12
agriculture	2	1	1	1	4.37
aha	2	1	1	1	3.56
america	2	1	1	1	5.22
andean	2	1	1	1	2.91
anne	2	1	1	1	4.32
appeals	2	1	1	1	4.22
asia	2	1	1	1	4.65
au	2	1	1	1	4.02
bangladesh	2	1	1	1	3.96
beware	2	1	0	1	3.7
bis	2	1	1	1	3.34
boney	2	1	1	1	2.5
bravo	2	1	1	1	3.77
brexit	2	1	1	1	3.79
btis	2	1	0	1	0.0
bubbles	2	1	1	1	3.79
bv	2	1	1	1	3.0
bvi	2	1	1	1	2.18
bvis	2	1	0	1	0.0
ceta	2	1	1	1	2.38
christopher	2	1	1	1	4.22
clem	2	1	1	0	2.98
crowell	2	1	1	1	2.72
cursos	2	1	1	1	0.0
customsclear	2	1	1	1	0.0
defence	2	2	1	1	4.51
dg	2	1	1	1	3.2
di	2	1	1	0	4.33
directives	2	1	0	1	3.21
duisburg	2	1	1	1	2.19
duties	2	1	1	1	4.32
edmond	2	1	1	1	3.1
ee	2	1	1	1	3.61
eec	2	1	1	1	2.7
efta	2	1	1	1	2.32
erika	2	1	1	1	3.17
erp	2	1	1	1	3.02
es	2	1	1	0	3.93
evguenia	2	1	1	1	0.0
forum	2	1	1	1	4.38
french	2	1	1	1	5.09
fta	2	1	1	1	2.92
gatt	2	1	1	1	2.32
german	2	1	0	1	4.95
ghana	2	1	1	1	3.9
giddy	2	1	1	1	3.22
gracias	2	1	1	1	2.79
gst	2	1	1	1	3.38
hark	2	1	1	1	2.81
highness	2	1	1	1	3.34
historically	2	1	0	1	4.08
hooray	2	1	1	1	3.2
hristina	2	1	1	1	0.0
hungary	2	2	1	1	3.91
huygen	2	1	1	1	0.0
iii	2	1	1	1	4.63
ilona	2	1	1	1	2.35
japan	2	1	1	1	4.89
juan	2	1	1	1	4.12
kachelofenbau	2	1	1	1	0.0
kamin	2	1	1	1	1.95
kevin	2	1	1	1	4.56
lanzarote	2	1	1	1	2.43
lea	2	1	1	1	3.57
lego	2	1	1	1	3.83
liam	2	1	1	1	3.93
louisa	2	1	1	1	3.29
ltd	2	1	1	1	4.47
luke	2	1	1	1	4.45
managing	2	1	1	1	4.4
mcqueen	2	1	1	1	3.29
meena	2	1	1	0	2.64
mexican	2	1	0	1	4.41
mi	2	1	1	0	4.3
mishchenko	2	1	1	1	1.17
mitchell	2	1	1	1	4.24
moe	2	1	1	1	3.5
mra	2	1	1	1	2.55
naujoke	2	1	1	1	0.0
neville	2	1	1	1	3.57
oecd	2	1	1	1	3.44
okoro	2	1	1	1	1.73
olaf	2	1	1	1	3.14
ordinance	2	1	1	1	3.6
orig	2	1	1	1	2.8
paid	2	2	1	1	5.12
pakistan	2	1	1	1	4.55
panasonic	2	1	1	1	3.18
psrs	2	1	1	1	0.0
recs	2	1	1	1	2.55
sandra	2	1	1	1	3.8
shapey	2	1	1	1	0.0
shhh	2	1	1	1	3.08
skipping	2	1	0	1	3.57
standards	2	1	1	1	4.78
taiwan	2	1	1	1	4.04
taric	2	1	1	1	1.31
taxud	2	1	1	1	0.0
tir	2	1	1	1	2.43
tools	2	1	1	1	4.59
treinamentos	2	1	1	1	0.0
twinning	2	1	1	1	2.71
und	2	1	1	0	3.94
unitax	2	1	1	1	0.0
usa	2	1	1	1	4.79
whiskers	2	1	1	1	2.99
wiser	2	1	1	0	3.48
woah	2	1	0	1	3.58
zoe	2	1	1	1	3.66
accepted	1	1	0	1	4.67
accize	1	1	1	1	0.0
accountants	1	1	1	1	3.47
accra	1	1	1	1	3.04
acting	1	1	0	1	4.82
adl	1	1	1	1	2.76
aeocs	1	1	0	1	0.0
ahchoo	1	1	1	1	0.0
ahh	1	1	1	1	3.86
ahhh	1	1	0	1	3.47
ahhhhhh	1	1	1	1	2.25
akritidis	1	1	1	1	0.0
al	1	1	1	0	5.16
alia	1	1	1	0	3.12
alka	1	1	1	1	2.43
alliance	1	1	1	1	4.4
amazon	1	1	1	1	4.55
amsterdam	1	1	1	1	4.03
annette	1	1	1	1	3.24
arabic	1	1	0	1	4.03
argh	1	1	1	1	2.95
armenia	1	1	1	1	3.56
asian	1	1	0	1	4.69
ata	1	1	1	1	3.04
athletic	1	1	0	1	4.12
aud	1	1	1	1	3.16
auditor	1	1	1	1	3.48
autoritatea	1	1	1	1	0.0
aviation	1	1	1	1	4.17
aw	1	1	1	1	4.13
awb	1	1	1	1	2.21
awoke	1	1	1	0	3.15
azerbaijan	1	1	1	1	3.48
bahamas	1	1	1	1	3.53
barbosa	1	1	1	1	2.55
beemsterboer	1	1	1	1	0.0
belarus	1	1	1	1	3.46
besuspariene	1	1	1	1	0.0
biding	1	1	1	1	2.5
bielskiene	1	1	1	1	0.0
bien	1	1	1	0	3.1
bippity	1	1	1	1	1.52
blackman	1	1	1	1	2.89
boi	1	1	1	1	3.4
bois	1	1	0	1	3.35
bolivia	1	1	1	1	3.53
bonita	1	1	1	0	2.76
boppity	1	1	1	1	1.44
branches	1	1	1	1	4.21
brookfield	1	1	1	1	2.95
brunei	1	1	1	1	3.19
brussels	1	1	1	1	3.99
bti	1	1	1	1	1.99
bukowski	1	1	1	1	2.51
bureau	1	1	1	1	4.41
calculator	1	1	1	1	3.56
cambodia	1	1	1	1	3.71
cameroon	1	1	1	1	3.53
carnet	1	1	1	1	1.83
cbam	1	1	1	1	0.0
cbsa	1	1	1	1	2.02
cc	1	1	0	1	4.15
cefta	1	1	1	1	0.0
celsius	1	1	0	1	3.29
chartered	1	1	1	1	3.66
chd	1	1	1	1	2.5
chewy	1	1	1	1	2.94
chile	1	1	1	1	4.06
chinese	1	1	1	1	5.01
christina	1	1	1	1	3.82
circuit	1	1	1	1	4.47
coldstore	1	1	1	1	0.0
collector	1	1	1	1	3.91
colombian	1	1	0	1	3.57
comeback	1	1	1	1	4.05
conditional	1	1	0	1	3.59
congratulations	1	1	1	1	4.4
containers	1	1	1	1	3.86
cookies	1	1	1	1	4.12
costa	1	1	1	1	4.15
counsel	1	1	1	1	4.16
cpd	1	1	1	1	2.8
cpma	1	1	1	1	0.0
croatia	1	1	1	1	3.74
cuba	1	1	1	1	4.13
custax	1	1	1	1	0.0
database	1	1	1	1	4.31
dataline	1	1	1	1	0.0
davidson	1	1	1	1	3.8
delivered	1	1	1	1	4.62
denmark	1	1	1	1	4.04
depositories	1	1	0	1	1.81
dereviankine	1	1	1	1	0.0
directorate	1	1	1	1	3.41
dominican	1	1	1	1	3.65
donald	1	1	1	1	4.46
dubouchet	1	1	1	1	0.0
ea	1	1	1	1	3.81
ec	1	1	1	1	3.7
eeeew	1	1	1	1	0.0
egypt	1	1	1	1	4.45
eh	1	1	0	1	4.26
eisbein	1	1	1	1	0.0
el	1	1	1	0	4.56
encyclopedia	1	1	1	1	3.52
eni	1	1	1	1	2.49
estonia	1	1	1	1	3.48
et	1	1	1	0	4.66
eurasian	1	1	1	1	2.99
evers	1	1	1	1	2.74
eww	1	1	1	1	2.87
examined	1	1	1	1	4.1
explored	1	1	1	1	3.9
exw	1	1	1	1	1.34
federative	1	1	1	1	1.91
financiën	1	1	1	1	0.0
flagship	1	1	1	1	3.75
forwarding	1	1	1	1	3.21
friedman	1	1	1	1	3.47
ftas	1	1	0	1	1.97
gaap	1	1	0	1	3.05
gavier	1	1	1	1	0.0
georgia	1	1	1	1	4.46
giggling	1	1	1	0	3.25
gotcha	1	1	1	1	3.38
gottifredi	1	1	1	1	0.0
grandaughter	1	1	1	0	1.66
greece	1	1	1	1	4.28
greens	1	1	1	1	3.86
guatemala	1	1	1	1	3.62
guided	1	1	1	1	4.06
haha	1	1	1	1	4.53
hannover	1	1	1	1	2.78
harley	1	1	1	1	3.72
header	1	1	1	1	3.88
heads	1	1	1	1	4.67
heijmann	1	1	1	1	0.0
hfs	1	1	1	1	2.26
hid	1	1	1	0	3.79
hitherto	1	1	1	0	3.15
hmm	1	1	1	1	4.11
hmmm	1	1	1	1	3.61
hola	1	1	1	0	3.07
hong	1	1	1	1	4.53
horgan	1	1	1	1	2.32
hristova	1	1	1	1	1.09
hurray	1	1	0	1	2.88
icc	1	1	1	1	3.64
ii	1	1	1	1	5.02
im	1	1	1	1	4.69
importing	1	1	1	1	3.43
india	1	1	1	1	5.04
indonesia	1	1	1	1	4.25
internationaux	1	1	1	1	1.34
italia	1	1	1	1	3.39
janey	1	1	1	1	2.43
javorcik	1	1	1	1	0.0
jewels	1	1	1	1	3.59
kenya	1	1	1	1	4.13
kft	1	1	1	1	1.79
kiddo	1	1	1	0	3.22
kong	1	1	1	1	4.49
korean	1	1	0	1	4.49
krefeld	1	1	1	1	1.85
kyryievskyi	1	1	1	1	0.0
lagura	1	1	1	1	0.0
laos	1	1	1	1	3.34
latvijas	1	1	1	1	1.18
lpp	1	1	1	1	1.86
luce	1	1	1	1	2.99
luckly	1	1	1	0	1.42
lucys	1	1	1	0	1.22
ma	1	1	1	1	4.63
maddie	1	1	1	0	3.25
magnus	1	1	1	1	3.46
malaysia	1	1	1	1	4.28
maritime	1	1	1	1	3.96
mauritius	1	1	1	1	3.21
mayer	1	1	1	1	3.59
medicines	1	1	1	1	3.77
mediterranean	1	1	1	1	3.99
members	1	1	1	1	5.35
mercosur	1	1	1	1	2.23
metrology	1	1	1	1	2.5
meyer	1	1	1	1	3.69
midfield	1	1	1	0	3.62
