set_name	member_en	proposed_tier	category	note
family_immediate	baby	1	closed	
family_extended	grandmother	2	closed	
family_extended	grandfather	2	closed	
family_extended	grandparent	2	closed	
family_extended	aunt	2	closed	
family_extended	uncle	2	closed	
family_extended	cousin	2	closed	
family_extended	nephew	2	closed	
family_extended	niece	2	closed	
family_extended	grandson	2	closed	
family_extended	granddaughter	2	closed	
meals	breakfast	1	closed	
meals	lunch	1	closed	
meals	dinner	1	closed	
meals	supper	1	closed	
meals	snack	1	closed	
senses	see	1	closed	
senses	hear	1	closed	
senses	smell	1	closed	
senses	taste	1	closed	
senses	touch	1	closed	
body_external	head	1	closed	
body_external	hair	1	closed	
body_external	face	1	closed	
body_external	eye	1	closed	
body_external	ear	1	closed	
body_external	nose	1	closed	
body_external	mouth	1	closed	
body_external	lip	1	closed	
body_external	tooth	1	closed	
body_external	tongue	1	closed	
body_external	neck	1	closed	
body_external	arm	1	closed	
body_external	hand	1	closed	
body_external	leg	1	closed	
body_external	foot	1	closed	
body_external	toe	1	closed	
body_external	chest	1	closed	
body_external	back	1	closed	
body_external	tummy	1	closed	
body_external_detail	forehead	2	closed	
body_external_detail	cheek	2	closed	
body_external_detail	chin	2	closed	
body_external_detail	eyebrow	2	closed	
body_external_detail	eyelash	2	closed	
body_external_detail	shoulder	2	closed	
body_external_detail	elbow	2	closed	
body_external_detail	wrist	2	closed	
body_external_detail	finger	2	closed	
body_external_detail	knuckle	2	closed	
body_external_detail	hip	2	closed	
body_external_detail	knee	2	closed	
body_external_detail	ankle	2	closed	
body_external_detail	heel	2	closed	
body_external_detail	thumb	2	closed	
body_internal	heart	2	closed	
body_internal	brain	2	closed	
body_internal	lung	2	closed	
body_internal	bone	2	closed	
body_internal	blood	2	closed	
body_internal	skin	2	closed	
body_internal	muscle	2	closed	
body_internal	stomach	2	closed	
animals_farm	cow	1	semi-open	
animals_farm	pig	1	semi-open	
animals_farm	sheep	1	semi-open	
animals_farm	horse	1	semi-open	
animals_farm	chicken	1	semi-open	
animals_farm	duck	1	semi-open	
animals_farm	goat	1	semi-open	
animals_farm	rooster	1	semi-open	
animals_farm	hen	1	semi-open	
animals_pet	dog	1	semi-open	
animals_pet	cat	1	semi-open	
animals_pet	fish	1	semi-open	
animals_pet	bird	1	semi-open	
animals_pet	rabbit	1	semi-open	
animals_pet	hamster	1	semi-open	
animals_wild	lion	1	semi-open	
animals_wild	tiger	1	semi-open	
animals_wild	bear	1	semi-open	
animals_wild	elephant	1	semi-open	
animals_wild	monkey	1	semi-open	
animals_wild	giraffe	1	semi-open	
animals_wild	zebra	1	semi-open	
animals_wild	wolf	1	semi-open	
animals_wild	fox	1	semi-open	
animals_wild	deer	1	semi-open	
animals_sea	shark	2	semi-open	
animals_sea	whale	2	semi-open	
animals_sea	dolphin	2	semi-open	
animals_sea	crab	2	semi-open	
animals_sea	octopus	2	semi-open	
animals_sea	jellyfish	2	semi-open	
insects	ant	1	semi-open	
insects	bee	1	semi-open	
insects	fly	1	semi-open	
insects	butterfly	1	semi-open	
insects	spider	1	semi-open	
insects	ladybug	1	semi-open	
insects	beetle	1	semi-open	
fruits	apple	1	semi-open	
fruits	banana	1	semi-open	
fruits	orange	1	semi-open	
fruits	grape	1	semi-open	
fruits	strawberry	1	semi-open	
fruits	pear	1	semi-open	
fruits	peach	1	semi-open	
fruits	cherry	1	semi-open	
fruits	lemon	1	semi-open	
fruits	watermelon	1	semi-open	
vegetables	carrot	1	semi-open	
vegetables	potato	1	semi-open	
vegetables	tomato	1	semi-open	
vegetables	onion	1	semi-open	
vegetables	pea	1	semi-open	
vegetables	bean	1	semi-open	
vegetables	corn	1	semi-open	
vegetables	broccoli	1	semi-open	
vegetables	lettuce	1	semi-open	
vegetables	cucumber	1	semi-open	
weather	sun	1	semi-open	
weather	rain	1	semi-open	
weather	snow	1	semi-open	
weather	wind	1	semi-open	
weather	cloud	1	semi-open	
weather	storm	1	semi-open	
weather	fog	1	semi-open	
weather	ice	1	semi-open	
weather	thunder	1	semi-open	
weather	lightning	1	semi-open	
weather	rainbow	1	semi-open	
emotions	happy	1	semi-open	
emotions	sad	1	semi-open	
emotions	angry	1	semi-open	
emotions	scared	1	semi-open	
emotions	surprised	1	semi-open	
emotions	excited	1	semi-open	
emotions	tired	1	semi-open	
emotions	bored	1	semi-open	
emotions	proud	1	semi-open	
emotions	jealous	1	semi-open	
emotions	nervous	1	semi-open	
emotions	worried	1	semi-open	
emotions	calm	1	semi-open	
clothing	shirt	1	semi-open	
clothing	pants	1	semi-open	
clothing	dress	1	semi-open	
clothing	skirt	1	semi-open	
clothing	shoe	1	semi-open	
clothing	sock	1	semi-open	
clothing	hat	1	semi-open	
clothing	coat	1	semi-open	
clothing	jacket	1	semi-open	
clothing	glove	1	semi-open	
clothing	scarf	1	semi-open	
clothing	belt	1	semi-open	
vehicles	car	1	semi-open	
vehicles	bus	1	semi-open	
vehicles	truck	1	semi-open	
vehicles	train	1	semi-open	
vehicles	plane	1	semi-open	
vehicles	boat	1	semi-open	
vehicles	bike	1	semi-open	
vehicles	ship	1	semi-open	
vehicles	helicopter	1	semi-open	
materials	wood	2	semi-open	
materials	metal	2	semi-open	
materials	plastic	2	semi-open	
materials	glass	2	semi-open	
materials	stone	2	semi-open	
materials	paper	2	semi-open	
materials	cloth	2	semi-open	
materials	rubber	2	semi-open	
materials	gold	2	semi-open	
materials	silver	2	semi-open	
school_subjects	math	2	semi-open	
school_subjects	reading	2	semi-open	
school_subjects	writing	2	semi-open	
school_subjects	science	2	semi-open	
school_subjects	history	2	semi-open	
school_subjects	art	2	semi-open	
school_subjects	music	2	semi-open	
verbs_motion	walk	1	semi-open	
verbs_motion	run	1	semi-open	
verbs_motion	jump	1	semi-open	
verbs_motion	hop	1	semi-open	
verbs_motion	skip	1	semi-open	
verbs_motion	crawl	1	semi-open	
verbs_motion	climb	1	semi-open	
verbs_motion	swim	1	semi-open	
verbs_motion	fly	1	semi-open	
verbs_motion	roll	1	semi-open	
verbs_motion	slide	1	semi-open	
verbs_motion	march	1	semi-open	
opposites	big	1	semi-open	
opposites	small	1	semi-open	
opposites	hot	1	semi-open	
opposites	cold	1	semi-open	
opposites	fast	1	semi-open	
opposites	slow	1	semi-open	
opposites	good	1	semi-open	
opposites	bad	1	semi-open	
opposites	open	1	semi-open	
opposites	closed	1	semi-open	
opposites	full	1	semi-open	
opposites	empty	1	semi-open	
opposites	hard	1	semi-open	
opposites	soft	1	semi-open	
opposites	new	1	semi-open	
opposites	old	1	semi-open	
opposites	wet	1	semi-open	
opposites	dry	1	semi-open	
opposites	loud	1	semi-open	
opposites	quiet	1	semi-open	
opposites	clean	1	semi-open	
opposites	dirty	1	semi-open	
opposites	strong	1	semi-open	
opposites	weak	1	semi-open	
planets	mercury	names	names-straddle	physical referents -> names layer (R6)
planets	venus	names	names-straddle	physical referents -> names layer (R6)
planets	earth	names	names-straddle	physical referents -> names layer (R6)
planets	mars	names	names-straddle	physical referents -> names layer (R6)
planets	jupiter	names	names-straddle	physical referents -> names layer (R6)
planets	saturn	names	names-straddle	physical referents -> names layer (R6)
planets	uranus	names	names-straddle	physical referents -> names layer (R6)
planets	neptune	names	names-straddle	physical referents -> names layer (R6)
planets	sun	names	names-straddle	physical referents -> names layer (R6)
planets	moon	names	names-straddle	physical referents -> names layer (R6)
continents	asia	names	names-straddle	named entities, not common lexicon
continents	africa	names	names-straddle	named entities, not common lexicon
continents	europe	names	names-straddle	named entities, not common lexicon
continents	america	names	names-straddle	named entities, not common lexicon
continents	australia	names	names-straddle	named entities, not common lexicon
continents	antarctica	names	names-straddle	named entities, not common lexicon
